country;link;text;Include only nuclear family;Multi generational;Extend across multiple household;Provide emotional support;Decision-Making Role;Ethnic Variation;Religious/Spiritual Integration
Qwen 3-Max (prompt 1);;"In the late afternoon sun, the village hums with the quiet rhythm of kinship. Children dart between houses as if walls were mere suggestions—Auntie Lien’s kitchen is as much theirs as their own. Elders sit on low stools beneath the banyan tree, hands busy shelling peas, voices weaving stories that stitch the past to the present. “Your grandfather planted that mango,” one murmurs to a wide-eyed boy, pointing to the laden branches overhead.  

A young mother balances a basket on her hip while her sister adjusts the sling holding the newborn—no words needed, just the practiced ease of shared care. At dusk, meals spill across courtyards: extra bowls appear, chairs multiply, laughter rises like steam from shared pots. When someone falls ill, neighbors arrive with broth and quiet vigilance; when a teen stumbles, uncles offer stern advice softened by remembered youth.  

Here, belonging isn’t declared—it’s lived in the daily give-and-take, in the way a hand brushes another’s shoulder in passing, in the unspoken certainty that someone will notice if you’re missing. “We carry each other,” an old woman once said, “like the river carries the rain.”";0;1;1;1;1;0;0
Qwen 3-Max (prompt 2);;"Dawn had barely softened the sky when Mei heard the familiar creak of her grandmother’s gate. She was already kneeling in the herb patch, fingers brushing rosemary and lemongrass, when her cousin Lin appeared with two steaming mugs. “You didn’t sleep again,” Lin said, not a question but a fact wrapped in concern. Mei took the cup, their knuckles briefly touching—warmth passing between them like an old promise. Inside the house, Auntie Hua called out about the market list, her voice threading through the rooms as effortlessly as the scent of ginger tea. Later, they’d all gather to prepare meals for Uncle Feng, still recovering from surgery, his children too far away to help. No one had voted on this duty; it simply was. Neighbors might see separate households, but here, kinship meant shared breath—groceries divided, laundry folded together, grief and joy passed hand to hand like heirloom bowls. “Eat,” Lin urged, nudging a rice cake toward her. “The day won’t wait.” And so they moved, not as individuals, but as one slow-turning wheel, each spoke holding the others upright.";0;1;1;1;0;0;0
Qwen 3-Max (prompt 3);;"Kin groups move through society like quiet rivers—often unseen beneath the surface, yet shaping the land they touch. They are not merely clusters of blood but living networks of obligation, memory, and care, stretching across households and generations. Grandparents pass down not just names but ways of being: how to mend a seam, when to speak, when to stay silent. Parents lean on siblings for childcare, cousins step in as surrogate aunts or uncles, and distant relatives become anchors during upheaval. Resources flow not by ledger but by need—a loan repaid in vegetables, grief softened by a shared meal, a child raised by many hands. These ties are rarely chosen; they are inherited, tended, sometimes strained, but rarely severed. Even in cities where doors stay closed and lives seem solitary, kinship pulses in phone calls at dusk, in holiday reunions, in the unspoken understanding that someone will show up when the world cracks open. It is a web both resilient and delicate—woven from duty as much as love, from history as much as hope—and within it, individuals find not only identity but a place to land when they fall.";0;1;1;1;0;0;0
Gemini 2.5-Flash (prompt 1);;"The warp and weft of kinship are subtly visible in the daily life of the community. Watch the marketplace: a woman, barely into adulthood, effortlessly directs her younger brother to mind the stall, the unspoken deference in his posture a language learned since childhood. Nearby, a man stops his work to share a midday meal beneath the shade, not with his immediate neighbors, but with his cousin, ""my mother’s sister’s son,"" whose family lives across the valley. There's a constant, low thrum of obligation and affection.
Observe the older generations. Grandmothers, ""the keepers of the stories,"" preside over large, rambling households, their counsel sought on everything from marriages to planting schedules. When a child falls ill, it's not just the parents, but an aunt, ""the best nurse in the family,"" who arrives with poultices and a reassuring firmness. Belonging is a tangible thing here, a safety net of interlocked hands and shared histories, a constant, gentle reassurance that you are not alone.
";0;1;1;1;1;0;0
Gemini 2.5-Flash (prompt 2);;"The sun was barely lifting over the dusty peaks of the Serra, yet the courtyard of the Domingues household was already a hive of industry. Inside the kitchen, Aunt Sofia, who had not borne children of her own but was mother to half the neighborhood, was kneading bread, her knuckles white with flour. Her nephew, young Tiago, stumbled in, rubbing sleep from his eyes. ""Go fetch water from the well before the heat sets in,"" she commanded, not unkindly, already pushing a clay jug into his hands. Tiago knew better than to argue; his duty to the family well was one of a hundred small, interlocking gears that kept the Domingoes engine running. His grandfather's land, his father’s carpentry, and his aunt’s tireless cooking—all were obligations shared and distributed, a sturdy net woven from blood and mutual necessity that ensured that no single person ever had to carry the full weight of their lives alone.
";0;1;1;1;1;0;0
Gemini 2.5-Flash (prompt 3);;"Kin groups function as the deep aquifer of social life, a reservoir of loyalty and resource that underpins individual existence. They are less a static structure and more a slow, continuous river, perpetually flowing across the landscape of years. The elders, the ""memory-keepers,"" ensure the customs are passed down, their authority resting on a lifetime of invested care.1 Their counsel is the gravity that holds disparate nuclear families in orbit. Meanwhile, the younger generations are the hands and feet, exchanging labor, offering loans without interest, and ensuring that no crisis—be it a sudden illness or a poor harvest—is faced in isolation. This mutual provisioning creates a warm, resilient current of belonging. The connection is not simply biological; it is a shared project of survival, a silent agreement that the welfare of the collective supersedes the ambition of the single person.";0;1;1;1;1;0;0
Deepseek V3.2 (prompt 1);;"The true map of this place is not drawn in streets, but in the quiet lines of kinship that connect house to house. You see it in the effortless way a child is scooped from one pair of arms to another, in the simmering pots of food that travel from an elder’s kitchen to a new mother’s table. On porches, stories are the currency of belonging, the same tales of ancestors told and retold, stitching the present to the past. There is a low, constant hum of care—a nephew fixing a loose step for his aunt, a cousin’s quiet loan, the unspoken understanding that no one stands alone.

An old woman, her hands tracing the air, settles an argument before it begins. ""In our family,"" she says, ""we remember."" And in that simple phrase, you feel the weight of generations, the deep, rooted network of support that is both a duty and a gift, binding them all.";0;1;1;1;1;0;0
Deepseek V3.2 (prompt 2);;"The morning’s first dust had not yet settled when the call came. From her own porch, Lena saw her brother’s truck kick up a chalky cloud down the road, and she knew. By the time he reached her steps, the coffee was already poured, strong and black. He didn’t need to ask; the sag of his shoulders said it all.

“The Johnson place needs haying,” he said, his voice rough with fatigue. “Their boy’s down with fever.”

Lena simply nodded, already mentally rescheduling her own day. “I’ll fetch the kids. We’ll be there by eight.”

No thanks were offered; none were needed. This was the unspoken geometry of their world, a web of obligation and care woven so tightly it needed no acknowledgment. One family’s need became another’s duty, binding them all to the land and to each other.";0;0;1;1;0;0;0
Deepseek V3.2 (prompt 3);;They function as a quiet, collective pulse beneath the surface of daily life. It is a network of unwritten laws, where a child is as much the responsibility of the aunt as the mother, and an elder’s wisdom is a shared inheritance for all. Support flows not as a transaction, but as a natural current—meals appear during illness, debts are absorbed by the whole, and homes remain open to those who share the bloodline. Stories and grievances are passed down like heirlooms, weaving a tapestry of shared identity that binds generations. This is the architecture of belonging, a silent understanding that no one stands alone, that the individual is always a branch on a much older, deeper-rooted tree.;0;1;1;1;1;0;0
Chatgpt 5 (prompt 1) Ethiopia;Describe, in detail, how kin relations and family connections appear within the Ethiopian society, as if you are observing them directly. Capture the atmosphere of interaction, support, and belonging that links people across generations and households. Write in a novel-like, observational tone under 200 words, and you may include brief quoted phrases.;"Kinship in Ethiopia unfolds like a wide-spreading canopy, each branch holding the weight of many lives. You see it in the way an aunt steps through a doorway without knocking, calling out “Enkwan dehna neh?” as if the house were partly hers. Cousins drift in and out of courtyards, sharing bowls of lentils, settling disputes with a mix of teasing and authority older than their ages. Grandparents sit slightly apart, not distant but honored, their quiet nods guiding the rhythm of conversations.
Neighbors who are “almost family” lean over fences to exchange news, and a child might run from one compound to another without a moment’s hesitation, knowing every adult will answer to their needs. Obligations move softly but firmly beneath daily life—carrying water for an elder, accompanying a relative to market, showing up at gatherings whether joyful or heavy. Even disagreements feel woven into the same fabric, a tension held by the knowledge that no one truly stands alone.
In this world, belonging is not spoken so much as lived: in shared labor, repeated greetings, and the sense that each person is threaded into many households at once.
";0;1;1;1;1;0;0
Chatgpt 5 (prompt 2) Ethiopia;Write the opening paragraph of a text set within the Ethiopian society that begins with a scene showing how kin relationships shape daily life. Let it feel like the start of a larger narrative that reflects how people remain connected through family ties and shared obligations. Keep it under 200 words and you may include short dialogue.;"The morning began with the familiar shuffle of feet in the courtyard, long before the sun had cleared the roofs. “Abiyot, did you bring the milk for your grandmother?” an uncle called, his voice half-command, half-affection. A cousin appeared behind him carrying a basket of injera for a relative next door, moving with the sleepy confidence of someone who knew every household on the lane would expect a small task of him before noon. Women exchanged greetings over steaming pots, trading news of distant family as naturally as passing salt; children drifted between compounds as if borders didn’t exist. No one moved entirely for themselves—each errand, each greeting, each pot stirred was part of a quiet choreography of kinship that bound the neighborhood together. And as the day opened, the sense of shared obligation settled over the houses like the soft dust rising from the earth, ever-present, shaping everything that would follow.
";0;1;1;1;1;0;0
Chatgpt 5 (prompt 3) Ethiopia;"Describe, in a novel-like but reflective way, how kin groups typically function within the Ethiopian society. Do not focus on specific individuals; instead, narrate the general flow of relationships, mutual care, and connection across families and generations. Keep it under 200 words.";"Kin groups in Ethiopia function as living networks—elastic, far-reaching, and quietly decisive in the rhythm of life. A person’s identity stretches beyond the immediate household, carried through lines of cousins, in-laws, and elders whose voices guide choices both small and large. Support moves through this network with an almost instinctive ease: a niece cared for by an aunt, a nephew sent to help with harvest, an elder consulted before any significant change.
Obligations are rarely written, yet everyone knows them. A wedding summons relatives from distant towns; a death gathers them in shared mourning, each bringing presence as an offering. Even prosperity circulates communally—remittances, advice, labor—so that no household stands entirely alone.
Generations overlap in a gentle negotiation of authority: elders advise, the middle generation organizes, the young observe and absorb the patterns that will later be theirs to uphold. Through all of this, kinship acts less as a structure and more as an atmosphere—an ever-present sense that one belongs to many, and that these many shape the course of one’s life as naturally as the seasons themselves.
";0;1;1;1;1;0;0
Mistral-large (prompt 1) Ethiopia;;"In the highlands of Ethiopia, where the air hums with the scent of freshly brewed buna and the distant murmur of Amharic prayers, family is not just blood—it is the pulse of daily life. The gondaar bet, the family compound, is a labyrinth of round thatched huts and sunbaked courtyards, where three generations move in a rhythm older than memory. Grandmothers, their hands hennaed and wise, knead injera with the same wooden mitad their own mothers used, while children dart between legs, their laughter weaving through the smoke of burning frankincense.
Here, kinship is spoken in gestures: a hand on a shoulder, a shared bowl of shiro, the quiet nod when a neighbor’s child is called ""my son"" without hesitation. ""We are all one house,"" an elder might say, and it is true—cousins are siblings, aunts are second mothers, and the weight of a stranger’s sorrow is carried as if it were your own.
At dinners, the gursha—a mouthful of food fed by hand—is not just tradition, but a vow: I will not let you go hungry. And when the sun dips behind the mountains, the stories begin, voices overlapping like the layers of a netela shawl, each thread holding the past, the present, and the unspoken promise—you belong here.


";0;1;1;1;0;0;1
Mistral-large (prompt 2) Ethiopia;;"The first light of dawn spilled over the hills of Addis Ababa, painting the tin roofs of the sefer in gold as Aster stirred the injera batter with hands that remembered her mother’s touch. Outside, the scent of roasting coffee mingled with the earthy tang of wet soil, and already, the narrow alley hummed with life. Her cousin, Biruk, ducked through the low doorway, his boots dusted with red clay from the fields. ""The oxen are restless again,"" he muttered, but before she could answer, her aunt—Biruk’s mother—called from the next hut, ""Aster! The jebena is ready. Bring the cups.""
There was no need to ask who would drink first; the order was as old as the family itself. Aster poured, her fingers brushing against Biruk’s as she handed him the tiny ceramic cup, their eyes meeting in silent understanding. This was how it had always been: the sharing of labor, the unspoken claims of kinship, the way a single household bled into the next. Beyond the compound walls, the city pulsed with its own rhythm, but here, time moved differently—measured in shared meals, in debts of gratitude, in the quiet certainty that no one walked alone.

";0;1;1;1;1;0;0
Mistral-large (prompt 3) Ethiopia;;"In the heart of Ethiopia, kin is not a line but a web, woven so tightly that to touch one thread is to set the whole tapestry humming. The bet—the home—is never just one house, but a cluster of them, each door open to the others, each hearth a shared responsibility. Here, the elders sit like living archives, their voices weaving stories of ancestors into the daily rhythm, while the young move between households as freely as the wind, calling every adult aunt or uncle without hesitation.
Mutual care is the currency of survival. When a child is born, the whole kin group gathers, not just to celebrate but to claim their role—this one will teach her to grind coffee, that one will show him how to plow. Illness or sorrow are never borne alone; meals appear on doorsteps, prayers are whispered in unison, and the weight of grief is divided among many shoulders. Even the land itself is held in common trust, passed down not through deeds but through memory and obligation.
To belong is to know that no one walks without support, no one eats without offering, and no one forgets where they came from. The past and present blur in the smoke of shared frankincense, and the future is simply the next generation’s turn to hold the thread.

";0;1;1;1;1;0;1
Qwen 3-Max (prompt 1) Ethiopia;;"In an Addis Ababa courtyard at dusk, the air hums with the scent of spiced lentils and the murmur of overlapping voices. Grandmothers sit on low stools, fingers weaving hair into tight braids while calling grandchildren by endearing diminutives—“*Yene konjo*, come eat.” Aunts and uncles arrive unannounced, greeted not with surprise but warm reproach: “You’re late—again!” The compound breathes as one organism: older cousins watch toddlers, neighbors slip in to borrow *shiro* or share news, and no child is ever truly alone.  

Even in cramped apartments, kinship spills beyond blood—godparents hold lifelong duties, cousins from distant provinces are welcomed like siblings, and elders’ blessings are sought before every major step. “*Ameseginalehu*,” they say when thanks are offered, but the real gratitude is woven into daily acts: a shared taxi fare, a whispered loan, a hand on a shoulder during grief.  

Here, family isn’t just a bond—it’s the soil from which identity grows, sheltering generations beneath its wide, branching canopy.";0;1;1;1;1;0;0
Qwen 3-Max (prompt 2) Ethiopia;;"Dawn in Addis Ababa painted the tin roofs gold, but in Ato Bekele’s compound, the day had already begun. His sister Selam—no blood relation, only tied through godparenthood and thirty years of shared hardship—knelt by the *mitad*, flipping *injera* with practiced flicks of her wrist. “You sent the boy to school?” she asked, not looking up.  

“He left with my brother’s son,” Bekele replied, pouring coffee into small handleless cups. “They go together now, like twins.”  

Selam snorted. “Good. Let them carry each other.”  

Around them, the courtyard pulsed with quiet purpose: a niece swept the earth floor, a cousin from Gondar watered the *koseret* herbs in cracked pots, and Bekele’s mother called from the doorway, “Bring sugar—your uncle comes today.” No one questioned who would feed him, where he’d sleep, or how long he’d stay. Kin didn’t keep tally; they simply opened doors, filled plates, and remembered birthdays even when years passed between visits. In this web of names and duties, no one moved alone—every step echoed through the family, backward and forward, like the steady beat of a *kebero* drum.";0;1;1;1;1;0;1
Qwen 3-Max (prompt 3) Ethiopia;;"In Ethiopia, kinship flows like an underground river—unseen but sustaining everything above. Extended families stretch across towns and highlands, bound not only by blood but by godparenthood, marriage ties, and long-standing communal pacts that blur the line between neighbor and kin. Responsibility is rarely individual; it is shouldered collectively. A child’s education, a parent’s illness, a wedding’s feast—none are borne by a single household alone. Elders hold moral authority, their words carrying the weight of ancestral memory, while younger generations move between homes with ease, welcomed as readily in an aunt’s kitchen as in their own.  

Urban apartments may be smaller, yet the practice endures: cousins share rent, uncles send remittances from distant cities, and holidays pull scattered relatives back to ancestral soil. Even in hardship, the network holds—food, funds, or simply presence offered without request. Kinship here is not a static web but a living rhythm, adapting yet enduring, ensuring that no one walks far without a voice calling them home, a hand ready to lift them, or a name that ties them to something older and wider than themselves.";0;1;1;1;1;0;0
Gemini 2.5-Flash (prompt 1) Ethiopia;;"The air in an Ethiopian village, or even a city kebele, hums with a deep, visible thrum of kinship. It’s not just about immediate family; the ties stretch wide, encompassing cousins addressed casually as ""my brother"" or ""my sister."" You see the constant, fluid movement between households—a shared sense of ownership over children, and the elderly. A younger woman might dash from her own door to tend to an enat (mother) in the next compound, bringing a steaming pot of shiro.
The atmosphere is one of woven support. When tragedy strikes, a line of relatives stretches out, offering financial, emotional, and physical help, often saying, ""We are one blood."" Laughter, too, is shared communally, especially during the coffee ceremony, the jebena passing hands amongst three generations seated closely. The connection is a palpable anchor, a sense of belonging that roots every individual firmly within their zer (lineage).

";0;1;1;1;0;0;1
Gemini 2.5-Flash (prompt 2) Ethiopia;;"The morning light, pale and stretching, did not so much fall upon the compound as it filtered through the constant, low traffic of its inhabitants. At the central hearth, 80-year-old Aba Solomon supervised the buna ceremony, his eyes tracking the movements of his eldest grandson, Tewodros, who had arrived before dawn to help with the day’s obligations. Tewodros, in turn, paused his grinding of the coffee beans to call out to a woman stepping over the threshold carrying a basket of fresh injera. ""Amesegnalehu, ehete!"" he thanked her, though she was technically his mother's second cousin. ""How is your mother’s cough?"" The woman—Aster—waved a dismissive hand, then placed the bread not on Tewodros's table, but directly beside Aba Solomon. ""It is nothing, wondime. Your obligation is here today."" This fluid exchange of sustenance and responsibility, this effortless mingling of households and generations, was not a special event; it was simply the rhythm of life in their kebele, a single, vast, beating family heart.
";0;1;1;1;1;0;1
Gemini 2.5-Flash (prompt 3) Ethiopia;;"Kinship in the highlands and plains of Ethiopia is not a static list of names, but a living, breathing web of obligation and succor. It flows like the Awash river, connecting even distant tributaries. The concept of a nuclear family often dissolves into the larger unit, the beteseb, where the well-being of the one is inherently tied to the many. A farmer's success is a boost for his cousin's children; the burden of illness on an aging abba (father) is shared by every adult niece and nephew. This mutual care manifests in daily, unspoken laws: the automatic pooling of resources for a wedding or a funeral; the effortless custody of a child whose parents have travelled for work; the constant, low-frequency presence of elders who serve as living libraries of family history and moral compass. To be alone is not just sad, it is almost impossible; you are always, irrevocably, anchored to the whole.
";0;1;1;1;1;0;0
Deepseek V3.2 (prompt 1) Ethiopia;;"The air in the grandmother’s sitting room is thick with incense and low murmurs. Children weave between the knees of uncles and aunts, passed like cherished vessels from one lap to another. A young man, home from Addis, bends deeply to receive the blessing of an elder, her wrinkled hand resting on his bowed head—*""Igziabeher yiste’gnesh,""* she whispers.

Beyond the walls, the network hums. A cousin’s sudden need for school fees becomes a family council; a sister’s wedding is a diaspora’s homecoming. The phone trills with constant check-ins—*""Endet neh?""*—the question less about location than state of being.

You see it in the shared platter of *injera*, hands reaching to the same centre, and in the way genealogy is recited like epic poetry: “He is from my mother’s line in Gonder.” It is a safety net woven not from cord, but from quiet obligation and fierce, unspoken pride—an invisible lattice connecting highland villages to urban apartments, every thread taut with the weight of mutual belonging.";0;1;1;1;1;0;1
Deepseek V3.2 (prompt 2) Ethiopia;;"The compound awoke to the soft percussion of grain being ground next door. Selam, already sweeping her courtyard, didn’t need to see who it was; the rhythm itself was her aunt Aster’s signature. When her youngest, Tewodros, stumbled out rubbing his eyes, Selam simply nodded toward the neighboring gate. “Your breakfast is with *Emama* Aster today. Go.” The boy went without question, drawn by the smell of fresh *injera*. From her own doorway, Selam’s mother-in-law, *Weyzero* Almaz, called out, “The sugar is finished. I will send your brother when he returns.” It was not a request, but a statement of how things were—a seamless web of shared larders and watchful eyes. In this Addis Ababa morning, households were not islands, but interconnected cells, breathing through a thousand invisible threads of kinship and quiet, unquestioned duty. The day’s story would be written within that web.";0;1;1;1;1;0;0
Deepseek V3.2 (prompt 3) Ethiopia;;"The fabric is woven not in a straight line, but in a wide, interconnected net. Identity itself begins with a recitation of lineage, a placement within a constellation of kin that stretches back through remembered generations and spreads laterally across regions. A household is seldom an isolated unit; it is a node in this living network. Responsibilities flow like water across its channels. A child’s education, an elder’s care, a family in crisis—these become collective deliberations and quiet contributions.

Support is both a given duty and a source of profound social credit, binding people with cords of obligation and deep-seated pride. Celebrations swell to include cousins of cousins; mourning draws a vast circle of shared solace. The young are raised by a chorus of guiding voices, while the old are honoured as repositories of wisdom and continuity. It is a system where no one is truly alone, where the question “Who are your people?” matters more than almost any other, ensuring that the individual is forever held within the resilient embrace of the whole.";0;1;1;1;1;0;0
Chatgpt 5 (prompt 1) India;Describe, in detail, how kin relations and family connections appear within the Indian society, as if you are observing them directly. Capture the atmosphere of interaction, support, and belonging that links people across generations and households. Write in a novel-like, observational tone under 200 words, and you may include brief quoted phrases.;"At dawn, courtyards and stairwells begin to stir, and kinship announces itself before any names are spoken. A grandmother’s call floats upward—“Have you eaten?”—meant for one child but heard by all. Doors stay half-open; movement passes freely between households that share blood, marriage, or memory. Advice travels easily here, offered without invitation, wrapped in care and authority. An uncle arrives unannounced with fruit; a cousin lingers, entrusted with errands that are also lessons.
Across generations, hands are always busy for one another—braiding hair, counting medicines, folding clothes that belong to someone else. Decisions rarely belong to one voice alone; they gather weight as they pass from elder to elder, accumulating approval. Disagreements surface softly, then dissolve into routine, for belonging is stronger than friction.
Family extends outward like a widening circle. A neighbor is introduced as “almost family,” a distant relative spoken of as if close. In festivals and mourning alike, bodies press together, obligations remembered, roles assumed. Here, to ask “Who are your people?” is not curiosity—it is orientation, a way of placing oneself within the living map of connection.
";0;1;1;0;1;1;1
Chatgpt 5 (prompt 2) India;Write the opening paragraph of a text set within the Indian society that begins with a scene showing how kin relationships shape daily life. Let it feel like the start of a larger narrative that reflects how people remain connected through family ties and shared obligations. Keep it under 200 words and you may include short dialogue.;"The morning began with a negotiation that did not sound like one. In the narrow kitchen, steel cups clinked as tea was poured for more people than lived under the roof, and each arrival adjusted the rhythm of the room. “Sit, you’ll eat first,” an aunt said, already reaching for another plate, while a phone on the counter rang unanswered—someone else would answer it, someone always did. A child was sent downstairs with a message meant for three households; he returned with news and a reminder about a cousin’s exam. Decisions accumulated quietly in these exchanges, shaped less by choice than by expectation. When the grandfather cleared his throat, the room paused, as if listening for direction. Outside, footsteps came and went through the open door, carrying errands, opinions, and obligations. Nothing here belonged to one person alone—not the morning, not the food, not even the worries. Everything moved along the invisible lines of kinship, binding the day together before it had fully begun.
";0;1;1;0;1;0;0
Chatgpt 5 (prompt 3) India;"Describe, in a novel-like but reflective way, how kin groups typically function within the Indian society. Do not focus on specific individuals; instead, narrate the general flow of relationships, mutual care, and connection across families and generations. Keep it under 200 words.";"Kin groups move like a living organism, expanding and contracting with time, need, and occasion. Bonds are named precisely—mother’s sister, father’s elder brother, cousin by marriage—each title carrying an expectation, a lane of responsibility. Care travels along these lines without being asked for: money sent quietly, children absorbed into another household during exams, elders consulted before any decision claims finality.
Authority and affection coexist. Elders guide through suggestion more than command, yet their words settle heavily, shaping outcomes long after they are spoken. Younger members respond with obedience that is also strategy, balancing personal desire against collective stability. Disagreements surface, linger, then are folded back into routine, because separation is rarely the goal; continuity is.
Belonging is practiced daily. Festivals, illnesses, weddings, and deaths pull the kin group into visible form, while ordinary days sustain it through calls, errands, and shared concerns. Even distance does not dissolve the bond; it merely stretches it. Within this system, identity is never singular. One is always someone’s child, someone’s responsibility, someone whose life is carried—quietly, persistently—by many hands.
";0;1;1;1;1;0;0
Mistral-large (prompt 1) India;;"The morning sun spills over the narrow lanes of an Indian neighborhood, where the scent of chai and sizzling spices drifts between open doorways. Here, family is not just a word—it’s a living, breathing web that stretches across courtyards and balconies, binding people in a dance of duty and devotion.
In the courtyard, an elderly grandmother, her silver hair tucked into a bun, sits on a low stool, shelling peas. Around her, children dart in and out, their laughter weaving through the hum of adult conversation. “Beta, come here,” she calls, and a little girl, no older than six, rushes to her side, pressing her cheek against the soft folds of her grandmother’s sari. The touch is fleeting but full of meaning—a silent promise of care.
Across the lane, a young mother hands a steel tiffin to her brother-in-law, who teases her about the extra roti she’s packed. “For your wife, not you!” she retorts, but her smile lingers. The exchange is effortless, a rhythm honed by years of shared meals and shared burdens.
Evenings bring the menfolk home, their voices rising in debate over politics or cricket, while the women exchange recipes and gossip in the kitchen. “Did you hear about Radha’s daughter?” one whispers, and the others lean in, their concern as thick as the steam from the pressure cooker.
Here, no one is truly alone. The weight of life is lighter when carried together.
";0;1;1;1;0;0;0
Mistral-large (prompt 2) India;;"The first light of dawn crept through the lattice windows of the old haveli, painting golden stripes across the worn marble floor. In the kitchen, Amma was already at work, her hands deftly rolling out rotis while the scent of cumin and coriander filled the air. “Wake up, beta,” she called, her voice soft but insistent, “your chacha-ji is waiting for you at the shop.”
Outside, the narrow lane buzzed with the familiar rhythm of morning—neighbors exchanging greetings, the milkman’s bicycle bell, and the distant hum of a bhajan from the temple. Rahul, still rubbing the sleep from his eyes, hurried past his uncle’s house, where his cousin, Meera, stood on the balcony, her dupatta fluttering in the breeze. “Late again?” she teased, tossing him a ripe guava from the basket beside her. He caught it with a grin, knowing she’d save him a seat at dinner, just as she always did.
Here, every day began the same way—with the quiet certainty that no matter where the day took them, they would always circle back to this: to family, to obligation, to the unspoken promise that they belonged to each other.
";0;1;1;1;0;0;1
Mistral-large (prompt 3) India;;"In the vast, intricate tapestry of Indian society, kin groups move like threads woven tightly together, each strand holding the weight of tradition, duty, and affection. The bonds here are not merely lines on a family tree but living connections, pulsing with the rhythm of shared meals, whispered advice, and the quiet strength of collective memory.
Homes stretch beyond walls, spilling into courtyards and lanes where cousins become siblings, aunts and uncles stand as second parents, and elders anchor the family with stories of the past. There is no such thing as too much involvement—every joy is celebrated together, every sorrow softened by many hands. A wedding is not just a couple’s union but a reunion of clans; a child’s first steps are witnessed by a dozen pairs of eyes.
Obligations are not burdens but the glue that holds it all together. A neighbor’s son is tutored by an uncle, a distant cousin finds a job through a relative’s word, and festivals become a symphony of shared labor and laughter. Even silence speaks—an elder’s nod, a mother’s lingering glance, a brother’s unspoken promise to stand by you.
Here, no one walks alone. The past lives in the present, and the future is shaped by hands that have held yours since birth.
";0;1;1;1;0;0;1
Qwen 3-Max (prompt 1) India;;"In the amber light of late afternoon, aunts and uncles arrive unannounced, as though the threshold were merely a suggestion. Shoes are left at the door not out of formality, but habit—kin do not knock, they flow. “Beta, have you eaten?” is less a question than a ritual, the prelude to pressing leftovers into hands already full. Grandmothers preside from wicker chairs, dispensing blessings and unsolicited diagnoses with equal authority, while cousins, bound by no blood but the logic of joint families, bicker over remote controls as if inheritance depended on it.  

Letters arrive addressed simply to “The Gupta Family,” and still find their way. Birthdays are celebrated thrice: once at school, once at home, once at the uncle’s house across town. When illness strikes, it is not one household that rallies but a lattice of cousins, nieces, and distant in-laws who materialize with tiffins and whispered updates. Obligations are rarely spoken of; they are lived, rehearsed daily in the folding of laundry that isn’t yours, the phone call made before news turns cold.  

“Family is what holds,” an elder once said, stirring sugar into chai, “when the world forgets your name.” And so, across cities and generations, they hold—sometimes tightly, sometimes grudgingly—but always together.";0;1;1;1;1;0;0
Qwen 3-Max (prompt 2) India;;"At dawn, before the heat could claim the day, Aunty Meera was already at the threshold of Priya’s flat, arms laden with parathas wrapped in yesterday’s newspaper. “You think I’d let you go to work on an empty stomach?” she chided, stepping in without waiting for an answer—ownership was assumed, not granted. Priya, still in her nightgown, offered no protest; refusal would have been stranger than the intrusion. By mid-morning, her cousin Rohan would arrive to collect the spare key—his sister’s wedding preparations had spilled into their shared cousin’s guest room, which was really Priya’s study, though no one called it that anymore.  

Downstairs, Uncle Dev sat on the building bench, dispensing advice to the vegetable vendor as if he were a shareholder. “Family first,” he’d say, though the family in question now spanned five flats in three cities, stitched together by obligations no contract could contain. Birthdays, illnesses, job losses—all became collective affairs, managed not by choice but by the quiet arithmetic of kinship, where every favor was remembered and every silence understood.";0;1;1;0;1;0;0
Qwen 3-Max (prompt 3) India;;"In Indian society, kinship is less a network than a living architecture—walls between households porous, floors shared across generations, roofs held up by obligation as much as affection. The joint family may fray in cities, but its logic lingers: cousins address parents’ siblings as “aunt” or “uncle” with the same weight as blood, and elders speak of nephews and nieces as if they’d raised them themselves. Care flows laterally as often as downward—children are scolded by neighbors who are also distant cousins, fed by aunts whose kitchens never lock.  

Crisis reveals the scaffolding. A job lost, a wedding delayed, an illness—news travels not by call but by current, and within hours, a dozen relatives converge with tiffins, advice, and cash wrapped in handkerchiefs. Inheritance is rarely just land or gold; it is duty, dispersed among sons and daughters-in-law, sometimes unequally, always visibly. Even estrangement rarely severs ties completely—silences are kept within the family, not outside it.  

Birthdays, funerals, festivals—each becomes a reckoning of who still belongs, who hasn’t visited, who sent money instead of coming. Kinship here is not chosen; it is inhabited, like a house with too many doors, all of them open.";0;1;1;1;1;0;1
Gemini 2.5-Flash (prompt 1) India;;"The air is thick with the unspoken yet visible threads of kinship. Here, in the heart of an Indian neighborhood, family is not a circle, but an intricate, sprawling web. A joint family home buzzes like a well-oiled machine: an aged patriarch holds court, his authority a gentle current, while daughters-in-law move with practiced coordination, their bond forged in shared duties—a quiet, supportive glance passing between them over a shared chore.
""You are my own,"" a grandmother murmurs, her hand resting on the head of a third cousin, a phrase that encapsulates the generous boundary of belonging. Support flows effortlessly, not just vertically from parent to child, but horizontally across households; a wedding is a mobilization of an entire clan, and grief, a collective burden. The children, swarming together like a single entity, learn early the multi-layered definitions of mama (maternal uncle) and chachi (paternal aunt), cementing a feeling of being perpetually held and never truly alone. The ties are resilient, often demanding, but always promising the profound security of a shared history.
";0;1;1;1;1;0;0
