country;link;text;Nuclear family;Large household size;Children central;Single-Parent Families;Women domestic;Men household authority;Elders respected
Qwen 3-Max (prompt 1);;"Through the thin walls of the old brick row houses, life hums in overlapping rhythms. In one unit, a grandmother stirs *sancocho* at dawn while her granddaughter braids hair before school—“*Apúrate, mija, el bus no espera.*” Next door, two freelance designers share a sunlit loft, their laptops open on a reclaimed-wood table, silence punctuated only by the clack of keys and the occasional, “You want the last croissant?” Downstairs, a widower waters his geraniums with ritual care, exchanging nods with the young couple hauling groceries up the stoop. Their apartment still smells of paint and possibility. Across the alley, a single mother folds laundry on the fire escape, calling up to her son’s open window: “Homework *before* TikTok!”  

These households aren’t islands. They borrow sugar, watch each other’s pets, argue over trash bins—but also leave soup on doorsteps during flu season. Children drift between homes like sparrows, learning the unspoken rules of each threshold. The architecture may divide, but the pulse of shared meals, borrowed tools, and late-night porch confessions stitches them into something warmer than mere neighbors: a fragile, breathing web of chosen and inherited kin.";1;1;1;1;1;0;1
Qwen 3-Max (prompt 2);;"The kettle whistles just as the first school bus rumbles past the curb, its groan swallowed by the clatter of cereal bowls and the sleepy bickering of two boys over the last banana. In the kitchen’s warm haze—part steam, part toast, part yesterday’s laundry still draped over a chair—Mira divides her attention like she always does: one hand stirring oatmeal, the other scrolling a group chat labeled *Casa Grande*, where her sister in Guadalajara sends photos of their mother’s hands kneading masa, and her cousin in Chicago asks who’s picking up Abuelo from dialysis. “Eat,” she says, nudging a bowl toward her youngest. “We’re late again.” Outside, Mrs. Lin from next door waters her geraniums and gives a knowing nod—she’s been watching the boys after school since the divorce, no questions asked. Inside, the walls hold more than furniture; they hold routines patched together from loss, migration, and stubborn love. This household wasn’t built in a day, or by blood alone—it was assembled, day by day, from borrowed time, shared burdens, and the quiet understanding that family is less a given than a verb.";1;0;1;1;1;0;1
Qwen 3-Max (prompt 3);;"Households pulse as the quiet engines of society—shifting, adapting, yet bound by rhythm. Most often, they gather around kinship: parents and children, sometimes grandparents, aunts, or cousins folded into the same roof, their lives braided by shared meals, chores, and the unspoken calculus of care. In denser quarters, unrelated individuals coalesce out of necessity or choice—students, migrants, friends—forming makeshift families bound by rent and routine rather than blood.  

Each unit carves its own microcosm: mornings rush with the clatter of breakfast and departing footsteps; evenings soften into shared dinners, laundry hung to dry, murmured conversations behind drawn curtains. Responsibilities distribute unevenly but persistently—someone cooks, someone cleans, someone soothes the crying child or tends the aging parent.  

Though walls enclose them, households rarely exist in isolation. They trade favors with neighbors, echo with cultural expectations, and reflect broader social currents—economic strain tightening belts, prosperity allowing rooms to expand, migration scattering members across borders yet tethered by calls and remittances.  

In their ordinary constancy, households stitch the fabric of daily life—not grand, but essential, shaping how we learn, love, and belong.";1;1;1;0;0;0;1
Gemini 2.5-Flash (prompt 1);;"Through the steamed window, one observes the tireless, intricate organization of domestic life. Houses, apartments, and even single rooms serve as the ""hearth and haven"" where daily existence is structured. Within these walls, a delicate ecosystem thrives. The kinship tie is the primary thread, defining roles: the primary caregivers orchestrate schedules, ensuring ""supper on the table"" and clean uniforms, while others contribute with paid work or small chores. It's a spatial negotiation, too; separate bedrooms offer ""a little privacy,"" yet the kitchen or living area remains the communal hub, a convergence point for meals, arguments, and shared television. These household units aren't isolated; they form dense webs through shared school runs, neighborhood gossip, and the occasional borrowed cup of sugar, each home a vibrating cell in the larger social body.
";1;0;1;0;1;0;0
Gemini 2.5-Flash (prompt 2);;"The light arrived late on a Tuesday, filtering through the thin, dusty curtain to highlight the geography of the small apartment. In the kitchen, the low, rhythmic grind of the coffee machine marked the start of the day’s production, an indispensable part of the larger, unspoken machinery of the household. Elias, already dressed in the stiff uniform of his daytime labor, was pulling on a boot while checking the time. Across the tiny, worn Formica table, Maria, hunched over a school planner, sighed. ""Are you taking the late bus again?"" she murmured, her voice laced with the weariness that comes from perpetual scheduling. This simple exchange—a question about transit, a small, shared tension over time—was the core ritual, the daily reaffirmation of their partnership, built not on grand promises but on the logistical necessity of getting two incomes and one small child through another week. Their home wasn't just a shelter; it was a strategically maintained economic and emotional fortress, held together by coffee, schedules, and the quiet, persistent effort of two people facing the world side-by-side.

";1;0;0;0;1;0;0
Gemini 2.5-Flash (prompt 3);;"The societal fabric is stitched together by countless domestic units, each one a small, self-regulating world. These are not static entities but fluid arrangements—sometimes the nuclear core of parents and children, sometimes the extended sprawl of multiple generations under one roof, or even simply a pair of roommates pooling resources. The structure dictates the rhythm: a dance of shared obligations and negotiated space. The morning light reveals the necessary partitioning of labor—the invisible economy of who manages the ""purse strings"" and who ensures the ""small, daily necessities"" are met.
Even in their diversity, a common pulse runs through them: the cyclical pursuit of shelter, sustenance, and emotional sustenance. The evening brings a brief convergence , a moment of shared experience around a table or a screen, a reinforcing of the unit's boundaries against the outside world. It is within these walls that the next generation absorbs the fundamental lexicon of their culture, making the household the silent, essential crucible of social reproduction.
";1;1;1;0;0;0;0
Deepseek V3.2 (prompt 1);;"From the street, the houses stand like a row of silent observers. Yet within, life pulses in its private rhythms. In one, a shared kitchen steams with the evening meal, a radio murmuring news from the counter. ""Set the table,"" a voice calls, a thread in the daily tapestry of clattering pans and running water.

Next door, a single lamp burns in a window, illuminating a solitary figure reading in a pool of quiet. The connections here are quieter, woven from phone calls and the anticipation of weekend visits.

These units, these households, are the primary cells of the social body. Some are bustling hives of overlapping lives; others are tranquil, self-contained orbits. Each, whether filled with noise or silence, is a fortress for the intimate, ordinary rituals that, together, compose a society.";1;0;0;0;0;0;0
Deepseek V3.2 (prompt 2);;"The low, golden light of dusk settled on the weathered porch where Elara stood, shelling peas into a wooden bowl. The rhythmic *pop* and gentle rattle were a counterpoint to the distant sounds of the village—a forge hammer falling silent, children’s laughter fading as they were called home. Each green pod split, releasing its treasure into the collective pile, a small, daily testament to provision. Inside, the hearth was being stoked for the evening meal, the scent of baking bread beginning to warm the air. This was how a household was built, she thought, not just with timber and stone, but with these repeated, willing gestures. Her son’s voice carried from the doorway, ""Will he be home soon?"" Elara smiled, not looking up from her work. ""The road always brings him back."" It was a fragile equation of departure and return, of patience and trust, written anew each day.";1;0;1;0;1;0;0
Deepseek V3.2 (prompt 3);;"A society's true pulse is taken not in its public squares, but in the quiet hum of its domestic units. These are the vessels of daily life, their structures as varied as the people within—from the nuclear family orbiting a shared kitchen to the solitary apartment where a single rhythm prevails.

Days are marked by silent, synchronized rituals: the morning exodus, the evening return. Within these walls, lives intersect in a dance of mutual provision and unspoken care. Resources flow in and are distributed, stories are exchanged like currency, and small traditions stitch the days into a coherent whole. It is a private economy, not just of goods, but of affections and shared memory, a sanctuary where the world is kept at bay just long enough for a life to be lived, together or alone, in sustained and quiet continuity.";1;0;0;0;0;0;0
Chatgpt 5 (prompt 1) Ethiopia;Describe, in detail, how households are organized within Ethiopian society, as if you are observing them directly. Capture the sense of everyday living arrangements and the patterns of connection that shape domestic life. Write in a novel-like, observational tone under 200 words, and you may include brief quoted phrases.;"In the highland light, a household in Ethiopia feels less like a closed unit and more like a small, breathing constellation. Compounds open inward, toward a shared yard where children chase one another between grain sacks and woven baskets, and where an aunt rinses coffee cups at a clay basin. Inside the round tukul or the rectangular stone house, space is arranged by rhythm rather than furniture: a corner for storing injera, another for sleeping mats rolled neatly at dawn, a hearth where smoke curls upward in a thin, blue thread.
People drift in and out with easy familiarity. Cousins arrive unannounced, greeted with a soft “enkoy,” and settle beside the fire. Neighbors step through the gate to borrow spices or share the day’s news. Elders sit slightly apart, offering quiet commentary, while younger adults move between chores—turning teff batter, tending animals, preparing coffee for the unhurried afternoon ceremony.
The household is both nucleus and passageway, shaped less by walls than by presence: kin who gather, disperse, and return, stitching daily life into a continuous fabric where everyone belongs and everyone is seen.
";0;1;1;0;1;0;1
Chatgpt 5 (prompt 2) Ethiopia;Write the opening paragraph of a text set within Ethiopian Society that begins with a scene of domestic life . Let it feel like the start of a larger narrative that reflects how families and households are formed and maintained within the society. Keep it under 200 words and you may include short dialogue.;"At first light the compound was already stirring, as if the dawn itself had pressed a hand against its woven gate. A grandmother swept the packed earth in slow, practiced arcs, sending small clouds of dust toward the round tukul where children were waking to the smell of roasting barley. From the doorway, an uncle called softly, “Indemin aderkachu?”—his voice carrying across the yard to cousins who wandered in from neighboring homes, drawn by habit rather than invitation. Women arranged baskets of teff beside the hearth, and a young mother dipped her finger into the batter, testing its readiness as the fire crackled. Even the animals moved in familiar circuits: goats tracing the edge of the fence, a calf nudging at a bucket. Nothing felt solitary here. Daily tasks braided the family into a living structure—kin by blood, kin by proximity, all sharing space, labor, and quiet affection. And as the sun climbed, the compound revealed itself as more than a home: it was the beginning of every story this family knew, and the place to which all their paths would return.
";0;1;1;0;1;0;1
Chatgpt 5 (prompt 3) Ethiopia;"Describe, in a novel-like but reflective way, how domestic units typically function within Ethiopian society. Do not focus on particular individuals; instead, narrate the general patterns of household structure, composition, and daily living. Keep it under 200 words.v";"In Ethiopia, a household often feels less like a fixed structure and more like a woven arrangement of roles, obligations, and quiet understandings. Families tend to gather in compounds that include several small dwellings, each linked by shared labor and shared meals. A domestic unit may stretch across generations—grandparents, married children, siblings, and the occasional cousin who has come “just for a while” but stays as long as life requires. Tasks distribute themselves along familiar lines: someone tending the hearth, someone mixing teff for injera, someone guiding livestock toward open fields.
The day unfolds in layers—children drifting between homes within the compound, adults stepping in and out of one another’s routines without ceremony. Hospitality blurs the edges between households; neighbors cross thresholds as if they were extensions of their own. Decision-making often takes shape in murmured conversations among elders, while younger members carry out the rhythms that keep the unit moving.
What holds the household together is less a hierarchy than a practiced interdependence: a sense that survival, comfort, and even joy are collective endeavors. In this arrangement, the home becomes both anchor and network, shaped by kinship, reciprocity, and the continuity of everyday life.
";0;1;1;0;0;0;1
Mistral-large (prompt 1) Ethiopia;;"The red earth paths of Ethiopia wind past clusters of round, thatched-roof tukuls, their mud walls baked golden by the sun. Inside, life unfolds in a rhythm as old as the highlands themselves. The eldest—often a grandfather or grandmother—sits near the hearth, their voice weaving stories with the scent of roasting coffee beans. “Buna dabo naw,” they murmur, as the youngest scurry to fetch cups, their bare feet kicking up dust.
Households here are not just families but living tapestries, threaded with cousins, aunts, and neighbors who drift in and out like the morning mist. The main house, the gojo bet, hums with activity: women knead injera on wide, flat pans, their hands moving in practiced circles, while men discuss crops or cattle deals in low tones outside. Children dart between, their laughter tangled with the clucking of hens.
At dusk, the compound comes alive—neighbors share gossip, elders settle disputes under the shade of acacia trees, and the air fills with the spice of berbere and the crackle of firewood. Here, no one is ever truly alone. The walls may be mud, but the bonds are iron.
";0;1;1;0;1;0;1
Mistral-large (prompt 2) Ethiopia;;"The first light of dawn crept through the cracks of the tukul, painting stripes of gold across the earthen walls. Alemitu stirred beneath her woven blanket, listening to the familiar rhythm of her mother’s voice—low and steady—as she ground coffee beans in the mortar. “Yene konjo, wake up,” her mother called, not unkindly, “the fire won’t wait for sleepy hands.” Outside, the scent of frankincense curled into the cool air, mingling with the sharp tang of freshly cut kolo, the roasted barley her younger brothers would soon scatter across the courtyard for breakfast.
Beyond the threshold, the compound hummed to life: her aunt swept the dirt yard with a bundle of twigs, her cousin chased a bleating goat toward the pen, and her father’s deep laugh rumbled from the shade of the acacia tree, where he sat with the neighbors, sipping coffee and discussing the coming harvest. This was how days began—not just in her family’s home, but in every gojo bet that dotted the hills, where the weight of kinship pressed as firmly as the morning sun. Here, no one belonged only to themselves.
";0;1;1;0;1;0;0
Mistral-large (prompt 3) Ethiopia;;"In the highlands and valleys of Ethiopia, the domestic unit breathes as a single, living organism—its walls not just mud and timber, but the unspoken bonds of duty, tradition, and shared survival. A household is rarely confined to parents and children; it stretches, elastic and porous, to embrace grandparents, aunts, uncles, and cousins, their lives woven together like the fibers of a gabi shawl. The eldest anchor the home, their wisdom as essential as the hearth’s flame, while the young move through its rhythms, learning by watching, by doing, by listening.
Daily life unfolds in a choreography of roles: women knead injera, their hands shaping the spongy bread as they shape the family’s nourishment; men tend the land or livestock, their labor a promise of stability; children fetch water, gather firewood, their small contributions stitching them into the fabric of the home. Meals are communal, disputes settled under the shade of shared trees, and joy or sorrow met with the same collective breath.
Here, a household is not just a place—it is a pact, a circle that widens to hold whoever needs shelter, whoever belongs. The walls may be humble, but the bonds are unbreakable.
";0;1;1;0;1;0;1
Qwen 3-Max (prompt 1) Ethiopia;;"Dawn breaks over the highlands, and smoke curls from the *got*—the circular thatched hut—where generations stir beneath one roof. Inside, the air is thick with the scent of *injera* baking on the *mitad*, the hearth’s embers pulsing like a steady heartbeat. Grandmother sits cross-legged by the doorway, fingers deftly shelling peas, while two toddlers cling to her shawl like vines. A teenage boy tends the cattle outside; his younger sister sweeps the compound with a bundle of dried grass, humming an old *tizita* tune.  

“*Buna yetesemal?*” someone calls—*Shall we drink coffee?*—and the ritual unfolds: green beans roasted over flame, ground in the *mukecha*, the slow, sacred pour. Neighbors drift in unannounced, not guests but extensions of the household: cousins, aunties, god-siblings bound by *mahiber* and mutual obligation. Even the walls speak of interdependence—the *tukul*’s mud plaster smoothed by many hands, the courtyard shared for grinding, gossip, and goat-herding.  

At dusk, bodies gather close on low stools, shadows stretching long across the earth floor. Elders recount lineage as stars prick the violet sky: “*We are not one person, but many, braided like rope.*” And in that braiding—of duty, memory, and daily bread—households hum, not as isolated units, but as living nodes in a vast, resilient web.";0;1;1;0;1;0;1
Qwen 3-Max (prompt 2) Ethiopia;;"The first light gilded the eucalyptus fence as Selam stirred the *shiro* pot, her knuckles brushing the curve of her belly—soft, insistent proof of the new life knitting itself inside her. Outside, her mother-in-law, W/o Abebe, swept the packed-earth courtyard with brisk, rhythmic strokes, the *shish-shish* a familiar counterpoint to the bleating of the family’s two goats tethered near the *got*. Her husband, Tadesse, emerged from the sleeping hut, stretching, his eyes already scanning the eastern ridge where his father and uncle would soon lead the oxen to plow. “*Eniy new?*” he asked softly, stepping beside Selam.  
“Fine,” she murmured, handing him a strip of dried *kitfo* wrapped in yesterday’s *injera*.  
A young boy—Tadesse’s nephew, orphaned last rainy season and folded seamlessly into their hearth—darted past, clutching a wooden cowbell, shouting, “*Abbaye!* Wait for me!”  
W/o Abebe paused, broom resting, watching him go. “*Yemar yemare*, he learns fast,” she said, not unkindly. *He’s becoming ours.*  
In this compound, kinship wasn’t just blood; it was shared smoke, shared sorrow, shared soil—each new arrival, each quiet gesture, another thread drawn tight in the fabric that held them, stubbornly, beautifully, together.";0;1;1;0;1;0;1
Qwen 3-Max (prompt 3) Ethiopia;;"In the Ethiopian highlands—and across its many landscapes—the household breathes as a collective organism: less a private sphere than a porous, pulsing nexus of kin, duty, and reciprocity. Typically centered on an extended family, the domestic unit often shelters three or more generations beneath a single *tukul* roof—grandparents anchoring memory and authority, parents managing labor and continuity, children and grandchildren weaving the future in their play and chores. Marriage forges not just a union of two, but an alliance of lineages; a bride may move into her husband’s compound, yet remains woven into her natal web through ritual, gift, and frequent return. Adoption and fostering are not exceptions but quiet norms—orphans, nieces, nephews absorbed without fanfare, their presence deepening rather than straining the household’s fabric. Daily life unfolds in shared rhythms: the grinding of *teff*, the tending of livestock, the slow ceremony of coffee roasting—tasks distributed by age and gender, yet interdependent, each motion echoing another’s. Authority flows patrilineally, yet women often hold the unseen levers: stewards of grain, mediators of quarrels, keepers of the hearth’s flame. The compound wall encloses more than buildings—it holds a moral economy, where care is repaid in labor, loyalty in inheritance, and solitude is nearly unthinkable. Here, to belong is to be bound—and to be bound is to endure.";0;1;1;0;1;1;1
Gemini 2.5-Flash (prompt 1) Ethiopia;;"The Ethiopian household, a bet or gojo, often presents a vibrant, tightly-knit organization. One observes that domestic life revolves around the nuclear or slightly extended family, often including grandparents or unmarried siblings. The arrangement isn't strictly architectural but is defined by shared daily rhythms.
The heart of the home is often the gibi or compound, where the cooking fire glows and the injera is baked. Here, the gendered division of labor is subtly apparent; the women manage the intricacies of food preparation and child-rearing, while men typically engage in tasks related to livelihood outside the immediate dwelling. Children, ""like little apprentices,"" move between these spaces, learning the roles that will define their adulthood.
The connections are profound; resources and responsibilities are pooled. An observer notes a constant flow—neighbors sharing a coffee ceremony or kinsmen assisting with a harvest.1 This shared existence fosters a robust support system, a pragmatic necessity, and a cultural touchstone that defines the very fabric of Ethiopian domesticity.
";1;0;1;0;1;0;0
Gemini 2.5-Flash (prompt 2) Ethiopia;;"The morning light, pale and smoky, filtered through the woven grass roof of the gojo, illuminating the quiet ceremony of the day's first meal. A hand-sized chunk of injera, still warm, was broken with deliberate care. “It must be shared, always, for the blessing to hold,” whispered Yetnayet, her voice a low rumble against the clinking of the coffee cups. Her daughter, ten-year-old Fikir, watched as Yetnayet dipped a piece into the wot, a maternal offering. The small family unit—Yetnayet, Fikir, and the quiet, stern presence of the elder patriarch, Ato Tesfaye, who supervised the grinding of the spiced butter—was a microcosm of the village’s enduring structure. Marriages, births, and deaths were merely the scaffolding around this central, essential act: the maintenance of the shared hearth and the bond of the meal. This bet, this household, was not just a dwelling; it was the foundation upon which their whole world rested, a constant negotiation between tradition and the relentless demands of the land.
";1;0;1;0;1;1;1
Gemini 2.5-Flash (prompt 3) Ethiopia;;"The Ethiopian bet, or household, functions less as a private retreat and more as a shared, bustling economy—a fundamental cell of the wider community. Typically, it is composed of a nuclear family, often extended by the presence of elders or unmarried kin, weaving multiple generations into the same domestic fabric. Daily life is orchestrated by a clear, albeit flexible, division of labor. The women are the custodians of the hearth, their mornings centered on the rhythmic grinding of spices and the preparation of the communal injera, the task itself binding them to their forebears. The men navigate the public sphere of work, returning to the compound where responsibilities shift to maintaining the homestead and its meager livestock. Resources, whether food or labor, are generally pooled, ensuring that hardship is a burden collectively borne. This pervasive sense of interdependence—a reliance on shared meals and mutual support—is the deep, unwritten covenant that maintains the household’s structure and ensures its survival.
";1;1;0;0;1;0;0
Deepseek V3.2 (prompt 1) Ethiopia;;"You see them first by their smoke, rising in plumes from flat-roofed *tukuls* in the highlands or from the compounds of corrugated iron in Addis Ababa's lanes.

Inside, a sacred order prevails. The *injera* basket rests at the centre, a woven throne. Around it, the hierarchy of daily life unfolds: elders on the low stools, children learning by watching. The walls, where they exist, are softened by worn *gabis* and the quiet icons of faith.

""You eat together,"" the grandmother reminds a wandering boy, her voice the rhythm of the household. Connection is woven through shared labour—the girls grinding spices with the steady *crunch-crunch* of the *mukecha*, boys fetching water in yellow jerry cans. At dusk, over bitter coffee, plans are murmured—a sister's school fee, a neighbour's funeral. The house is not a shell, but a living cell in a vast kinship network, where the boundary between ""home"" and ""community"" breathes with every visitor greeted as family.";0;1;1;0;1;0;1
Deepseek V3.2 (prompt 2) Ethiopia;;The morning sun cut a sharp geometry across the dirt floor of Genet’s single room, illuminating the steam from the *kenche* she stirred. Her daughter, Lemlem, six years old and already serious, carefully folded the family’s two blankets. “Today is the day Auntie Askale comes?” she asked, not looking up from her task. “Yes, *lijé*,” Genet replied, her voice calm but her eyes flicking to the small heap of teff flour by the door—a meager offering for the woman who had raised her. In this society, family was a quilt stitched from blood, obligation, and mutual need. Askale was not her sister by birth, but by the ancient, unwritten code that bound the orphaned child to her father’s cousin. Their household, like so many, was a patchwork of such salvaged connections, a living answer to loss, maintained by the daily bread of shared labour and remembered debt. The knock, when it came, was not just a visitor at the door, but a thread pulled tight in the wider, sustaining web.;1;0;1;1;1;0;1
Deepseek V3.2 (prompt 3) Ethiopia;;"Within the highland compounds and urban lanes, the Ethiopian household breathes as a single organism. It is rarely a nuclear unit, but a sphere of extended kinship—grandparents anchoring the space, orphaned cousins weaving into the daily fabric, the boundaries between siblings and their children often soft and fluid. Authority flows downward from age and experience, while care circulates upward from youth.

Days are patterned by shared, gendered labours: the rhythmic scrape of the *mitad* and the scent of roasting coffee are the domain of women and girls, while the upkeep of the dwelling and major provisions fall to men and boys. Yet all orbits pull towards the central hearth, the shared meal of *injera* and *wot* where the day’s accounts are settled and stories exchanged.

These homes are not isolated. They are nodes in a vast network, constantly exchanging—a child sent for schooling, an elder received for care, a neighbour welcomed without question. The household’s strength is measured not by its walls, but by the depth of its connections, maintained through duty, faith, and the unspoken rule that no plate is ever set for one alone.";0;1;1;0;1;1;1
Chatgpt 5 (prompt 1) India;Describe, in detail, how households are organized within Indian society, as if you are observing them directly. Capture the sense of everyday living arrangements and the patterns of connection that shape domestic life. Write in a novel-like, observational tone under 200 words, and you may include brief quoted phrases.;"At dawn, the house is already awake, breathing in layers. A grandmother sits cross-legged near the window, counting prayer beads as light filters through metal grilles. In the kitchen, steel vessels clink; tea simmers, milk rising and threatening to spill. Bedrooms open into one another, not as private boxes but as shared corridors of life. A child sleeps beside an aunt, another on a thin mattress rolled out each night and folded away by morning.
Walls hold generations. A married son’s room adjoins his parents’, doors left ajar, voices passing freely: “Have you eaten?” “Don’t forget the keys.” Even in smaller flats, kinship stretches outward—neighbors drop in without warning, cousins stay for months, festivals rearrange sleeping spaces entirely. Privacy is elastic; presence is constant.
The household is less a unit than a web. Duties circulate—who cooks, who earns, who cares for the old and the young—shifting with age, illness, or need. Even silence is communal. In the evening, everyone gathers near the television or courtyard, bodies close, routines overlapping, life held together by proximity rather than walls.
";0;1;1;0;0;0;1
Chatgpt 5 (prompt 2) India;Write the opening paragraph of a text set within Indian Society that begins with a scene of domestic life . Let it feel like the start of a larger narrative that reflects how families and households are formed and maintained within the society. Keep it under 200 words and you may include short dialogue.;"The day begins not with an alarm but with movement: the scrape of a chair across stone, the hiss of a pressure cooker, the low murmur of a radio reciting morning news and prayers in the same breath. In the narrow apartment, doors are already open, rooms dissolving into one another as if the house itself resists separation. A grandmother folds blankets with practiced speed; a younger woman braids her hair near the window, calling out, “Wake him now, or he’ll miss the bus.” Children drift through the corridor barefoot, stepping around sleeping bodies and bags of rice stacked against the wall. This is how the household holds itself together—by shared routines, by negotiated space, by voices that assume listening. Here, family is not simply who belongs where, but who stays, who returns, and who quietly adjusts their place so that everyone else can fit.
";0;1;1;0;0;0;1
Chatgpt 5 (prompt 3) India;"Describe, in a novel-like but reflective way, how domestic units typically function within Indian society. Do not focus on particular individuals; instead, narrate the general patterns of household structure, composition, and daily living. Keep it under 200 words.v";"A domestic unit unfolds like a slow, practiced choreography. Space is shared before it is claimed: rooms serve multiple lives, mornings and nights redefining their purpose. Sleeping mats appear and vanish; a table is for meals, homework, arguments, prayers. The household is rarely fixed in number. It expands with visiting relatives, contracts when work or marriage pulls someone away, yet remains conceptually whole, its boundaries defined more by obligation than by walls.
Generations often overlap. Authority flows gently downward through age and experience, while care moves upward in return. Decisions—about money, illness, education—are rarely solitary acts; they are discussed, weighed, deferred. Daily life runs on repetition: cooking for many, cleaning for all, accommodating difference through routine. Privacy exists, but it is negotiated rather than assumed.
What holds the unit together is continuity. Even when members live apart, the household persists as a moral center—a place of return, a reference point. It is less a residence than a living structure, sustained by presence, duty, and the quiet expectation of mutual endurance.
";0;1;0;0;0;0;1
Mistral-large (prompt 1) India;;"The morning sun spills over the narrow lanes of an Indian neighborhood, where the rhythm of domestic life pulses like a steady heartbeat. Houses, often stacked or clustered, open into courtyards or spill onto verandas, their thresholds blurred by the constant hum of activity. Inside, generations fold into one another—grandmothers kneading dough for rotis in the kitchen, their hands swift and sure, while mothers rush to pack lunchboxes with ""thoda sa achaar"" (a bit of pickle) tucked in. Children dart between rooms, their laughter mingling with the clatter of steel utensils and the murmur of morning prayers from a corner altar.
The household is a living organism, its walls breathing with the comings and goings of extended family. Uncles drop by unannounced for chai, aunts gossip over peeling vegetables, and cousins sprawl on floors, textbooks spread wide. Evenings bring the family together on charpoys or around the TV, where soaps and cricket matches spark debates. ""Beta, phone rakh!"" (Child, put the phone away!) echoes as elders insist on shared meals, their voices weaving the day’s stories into the fabric of home.
Outside, neighbors lean over balconies, exchanging news and borrowed spices, their lives intertwined like the vines creeping up the walls. Here, privacy is a fluid concept, and the boundaries of home stretch far beyond its doors.
";0;1;1;0;1;0;1
Mistral-large (prompt 2) India;;"The scent of roasting cumin and turmeric curled through the damp morning air as Meera stirred the tadka in a cracked iron kadhai, its sizzle drowning out the distant hum of temple bells. Outside, the lane was already alive—vendors shouting prices, bicycles rattling past, and the sharp cry of a child scolded for lingering too long at the paan shop. Inside the cramped kitchen, her mother-in-law’s voice cut through the steam: ""Chai peene se pehle, pooja ka samagri rakh do."" (Before your tea, set out the prayer things.)
Meera didn’t answer, but her hands moved faster, arranging brass lamps and marigolds on the altar while her daughter, half-dressed for school, braided her hair at the table. The radio crackled with news of monsoon delays, and somewhere in the next room, her husband argued with his brother over a land deed, their voices rising and falling like the tide. This was how days began—layered, loud, and tangled—each person a thread in the unraveling and weaving of something larger than themselves. The house, like all houses here, was not just walls and a roof but a living thing, fed by the hands that swept its floors, the feet that crossed its threshold, and the stories that clung to its walls like the scent of last night’s dinner.
";1;1;1;0;1;0;1
Mistral-large (prompt 3) India;;"In the labyrinth of Indian households, life unfolds not in solitude but in layers—generations stacked like the steel containers of a lunch dabba, each compartment essential, each holding its own. The home is rarely just a nuclear unit; it stretches, bends, and absorbs, shaped by the weight of tradition and the pull of necessity. Grandparents anchor the rhythm, their wisdom a quiet hum in the background, while parents navigate the tides of work and duty. Children, often more than one, tumble through the rooms, their voices bright against the murmur of elders.
The day begins before dawn, with the clatter of utensils and the scent of ginger tea, the household waking as one. Meals are communal, prepared in quantities that assume an extra mouth or two—cousins, aunts, or the neighbor’s son who never quite leaves. Walls are thin, both literally and metaphorically; conversations drift from room to room, and decisions are rarely made alone. Even the physical space reflects this fluidity—verandas double as guest rooms, courtyards become extensions of the kitchen, and the boundaries between ""mine"" and ""yours"" blur in the face of shared living.
Here, a household is not just a place to sleep but a web of obligations, affections, and unspoken rules, where every member, no matter how distant, is always just a meal away from belonging.
";1;1;1;0;0;0;1
Qwen 3-Max (prompt 1) India;;"In the close-packed lanes of a Mumbai chawl or the sun-dappled courtyards of a Tamil Nadu village, Indian households breathe as living organisms—dense, interwoven, humming with routine. Three generations often share a single cramped flat: grandmother stirring dal on a kerosene stove, her daughter balancing laundry on her hip, teenage boys sprawled over textbooks near the only window. “Did you pay the water bill?” someone calls from the kitchen; “Later, Ma!” comes the muffled reply from the corridor.  

Uncles drop by unannounced, sandals kicked off by the door, expecting tea and gossip. Aunts exchange pickles and parenting critiques over shared balconies. Even in nuclear homes, the shadow of kinship looms large—grandparents’ blessings sought before exams, cousins crashing for weeks during job hunts. Privacy is porous; intimacy thrives in shared meals, not locked doors. Space is negotiated with glances, not leases.  

Here, the household isn’t just a dwelling—it’s a net of obligations, affections, and unspoken rhythms. “We manage,” says the mother, stirring another pot, her smile both weary and proud. And they do—by folding everyone in, always.";1;1;1;0;1;0;1
Qwen 3-Max (prompt 2) India;;"Morning light seeped through the gauzy kitchen curtains as Lakshmi cracked eggs into a sizzling pan, her wrist moving in the practiced arc of twenty years’ routine. Her mother-in-law, seated on the stool by the door, peeled garlic with hands gnarled like old roots, eyes sharp despite the cataract clouding one. “The boy didn’t come home last night,” Amma murmured, not looking up. Lakshmi’s spoon stilled. “He’s with his cousins in Andheri—said they’d return after morning prayers.” A pause. “You believe that?” Amma asked, finally meeting her gaze.  

Outside, the apartment complex stirred—slippers scuffing stairs, pressure cookers hissing, a neighbor calling to borrow turmeric “just for five minutes, didi.” Within these cement walls, family wasn’t only blood; it was shared water taps, borrowed spices, and the unspoken pact to raise each other’s children when duty—or trouble—called. Lakshmi stirred again, harder this time. “I have to believe it,” she said. And in that moment, the household held its breath, bound not by walls, but by the fragile, fierce web of care that kept it whole.";1;1;1;0;1;0;1
