country;link;text;Wealthy;Poor;Education;Clothes;Labor;Elite;Car;House
Chatgpt 5 (prompt 2);Write the opening paragraph of a text that begins with a scene shaped by social position or hierarchy. Let it feel like the start of a larger narrative that reflects how people recognize and navigate distinctions within their society. Keep it under 200 words and you may include short dialogue.;"The morning began with the sound of shoes — some clicking, some shuffling — a language of rank that everyone understood. At the factory gate, the foreman’s polished boots struck the pavement with authority, while the workers’ soles, softened by years of wear, moved in quieter rhythm. “Keep the line straight,” he barked, not unkindly but with the confidence of one who had never stood in it. Inside, the air smelled of oil and metal, the scent of necessity.
At noon, when the bell rang, the men with titles took their lunch in a small room with glass windows, while the others sat outside on overturned crates, the same dust settling on all their bread. No one spoke of the difference — they didn’t need to. It was stitched into posture, into the way a man held his spoon or lowered his gaze. Even laughter had its boundaries here, rising and falling in tones that revealed more than words ever could.
";0;1;0;1;1;1;0;0
Chatgpt 5 (prompt 3);"Describe, in a novel-like but reflective way, how systems of class and social standing operate within a society. Do not focus on particular individuals; instead, narrate the general structure, movement, and perception of difference that define collective life. Keep it under 200 words.";"Class in this society moves like a tide — unseen in its pull, yet shaping every shore it touches. It orders the rhythm of days: who wakes to the alarm and who to the knock of a servant, who eats hurriedly before work and who lingers over coffee while reading the news. Streets themselves speak of rank; the cobblestones grow smoother where the wealthy walk, rougher where labor is done.
Status is not declared but performed — in accents, in the patience with which one waits, in the distance kept from those below. Children learn it early, not from books but from glances: which doorway to enter, which silence to keep. Those above move through the world as though gravity is lighter for them, their burdens hidden by design. Those below carry the city’s weight in their hands, its comfort on their backs.
Yet everyone believes the order is natural, as if born from merit or fate. It is this quiet conviction — not law, not force — that keeps the hierarchy intact: a structure built not on stone, but on the steady, unquestioned belief that things have always been this way.
";1;1;0;0;1;1;0;1
Mistral-large (prompt 1);;"The morning mist clings to the city like a damp shroud, revealing the bones of its order as the sun climbs. On the eastern side, the factory gates groan open, and the first shift pours in—hands calloused, faces set in the grim resolve of those who know their labor is invisible until it breaks. ""Another ten hours,"" one mutters, rubbing his palm where the blister never quite heals. Their boots scuff the pavement, a rhythm of resignation.
Across the river, the cafés are already alive with the clink of porcelain and the murmur of deals being made. Here, the air smells of espresso and polished leather. A woman in a tailored coat taps her phone, her nails manicured to a glossy sheen, while her assistant hovers just out of sight, clutching a tablet and a practiced smile. ""The meeting’s at eleven—don’t be late,"" she says, not looking up. The assistant nods, already calculating how to smooth over the delay.
In the shadows of the high-rises, the street vendors set up their carts, their voices sharp with the urgency of those who must sell or starve. A child darts between them, barefoot, clutching a bundle of newspapers. The vendors shout, laugh, curse—each syllable a claim to space, to existence.
And above it all, the penthouses gleam, silent as tombs. Their occupants sip imported wine on balconies, watching the city pulse below, untouched. The hierarchy isn’t written; it’s breathed.
";1;1;0;1;1;1;0;1
Mistral-large (prompt 2);;"The grand staircase of the opera house was a river of silk and whispers, each step a silent negotiation of place. At the top, Lady Elspeth adjusted her gloves with deliberate slowness, her diamond bracelet catching the chandelier’s light like a warning. Below, the merchants’ wives clustered in their new velvet, laughing just loudly enough to be noticed—but not too loudly. ""Such a pity about the Vosses,"" one murmured, watching as the banker’s daughter, in last season’s gown, slipped unnoticed toward the shadows.
Near the doors, the footmen stood rigid as statues, their livery crisp, their faces blank. Only their eyes moved, tracking the flow of guests—the way the mayor’s son ignored the clerk’s outstretched hand, the way the widow in black was allowed to linger near the patron’s box, her grief a temporary passport to higher ground.
And then there was the boy with the violins, darting between the carriages outside, his fingers smudged with rosin. He didn’t look up. He knew better. The music would start soon, and the night would unfold exactly as it always did: some on stage, some in the dark, and everyone pretending not to see the strings.
";1;1;0;1;1;1;1;0
Mistral-large (prompt 3);;"The city moves in layers, each stratum humming with its own rhythm, its own rules. At the highest tiers, the air is thin and polished—deals are struck over lunches that cost more than a month’s rent elsewhere, and voices drop to murmurs, as if volume might betray the fragility of their privilege. Here, power is not spoken; it is assumed, a quiet current that carries decisions downstream without a ripple.
Below, the streets pulse with the labor that keeps the heights afloat. Hands move in unison—stacking, sweeping, sewing—each motion a silent contract with the world above. The language here is louder, sharper, a dialect of necessity. There is no pretense of choice; survival is a craft, and everyone knows their place in the assembly line of daily life.
And then there are the spaces in between, the liminal zones where ambition and exhaustion collide. The shopkeepers who dream of expanding, the clerks who study at night, the children who learn early which doors are open to them and which will always remain shut. The system does not need to announce itself. It is in the way eyes flicker downward in certain company, in the way addresses are exchanged—or withheld. It is the invisible hand that shapes not just what people have, but what they dare to want.
";1;1;1;0;1;1;0;1
Qwen 3-Max (prompt 1);;"Dawn in the city: the street sweepers in faded blue uniforms push brooms with tired shoulders, their breath misting in the chill. Above them, behind glass towers still dark, executives sip espresso in hushed lobbies, briefcases gleaming like armor. On the corner, a vendor fries *samosas*—his hands quick, his eyes watchful—as a woman in a tailored coat strides past without glancing down. “*Just move along,*” she murmurs, not unkindly, but with the certainty of someone who expects space to clear before her.

In the market, the butcher nods deferentially to the landlord’s wife, wrapping her lamb chops in crisp paper while handing the day-old cuts to the maid waiting behind. Children mirror it all: the private-school boy adjusts his blazer, ignoring the barefoot kids chasing a deflated ball through puddles. No one shouts the hierarchy—it hums beneath greetings, lingers in who holds doors and who ducks through them. Even laughter differs: sharp and bright in the café, weary and low by the bus stop. Everyone knows their place. Most pretend they chose it.";1;1;1;1;1;1;0;1
Qwen 3-Max (prompt 2);;"The invitation arrived on thick cream paper, edged in gold—*Miss Elara Voss requests the pleasure…*—and instantly, the whole household held its breath. In the scullery, Marta paused mid-scrub, fingers raw in the soapy water, listening as Mrs. Voss’s voice floated down the hall: “Of course we’ll attend. The Thorne ball is *the* event of the season.” Marta’s own name hadn’t been printed, though she’d stitched the hem of Elara’s gown herself, thread by thread, under lamplight long after midnight. Upstairs, laughter tinkled like crystal; downstairs, the cook muttered, “Pleasure, indeed,” and slammed a pot onto the stove. Marta dried her hands slowly. She knew the unspoken rule: you could be essential to the spectacle and still invisible within it. Later, she’d press her ear to the dumbwaiter shaft just to hear the music, the clink of glasses, the easy way people spoke when they’d never worried where their next meal came from. For now, she returned to the dishes, the invitation’s gilt edge already curling in the damp air—a reminder that some names belong on paper, and others only in the silence between.";1;1;0;1;1;1;0;1
Qwen 3-Max (prompt 3);;"Class here is not announced—it is absorbed. From birth, one learns the unspoken grammar of place: which doors are held open, which are pushed through with lowered eyes; which voices carry weight in council halls and which are tuned out in market chatter. Wealth wears quiet fabrics but speaks in deeds—land bought, schools endowed, names etched into stone. Poverty, by contrast, is loud in its need yet muted in its influence, its labor essential but its presence incidental. Mobility exists, yes—but like climbing a greased rope: possible, exhausting, and rare enough to be celebrated as myth. People measure themselves not just by what they own, but by who nods first in greeting, who is invited to weddings, whose child shares a tutor. Status is maintained less by law than by habit, by the thousand daily choices that reinforce who belongs where. And so the structure endures, not because it is rigid, but because everyone, in their own way, helps to polish its invisible rails—some hoping to ascend, others merely praying not to fall.";1;1;1;1;1;1;0;1
Gemini 2.5-Flash (prompt 1);;"The divisions are woven into the very fabric of the city. Down by the docks, the air is thick with the scent of brine and sweat, and the dockworkers' faces are etched with the kind of fatigue only heavy, unrelenting toil can carve. Their movements are efficient, their clothes practical, their greetings blunt: ""Gotta keep moving."" A few streets over, the marble steps of the financial district gleam. Here, the suits glide, speaking in hushed, polished tones about ""portfolio performance."" They occupy a different rhythm, marked by manicured lawns and the discreet closing of luxury car doors.
Observe the cafe: the waitress, constantly scanning, her smile practiced, and the patron reading a newspaper, calling out ""Another espresso, please,"" without lifting his eyes. It is in these tiny, unacknowledged moments—in the quality of the light that reaches their windows, in the deference or the disregard in their eyes—that the hierarchy lives and breathes.
";1;1;0;1;1;1;1;1
Gemini 2.5-Flash (prompt 2);;"
The sun, already too hot for the hour, beat down on the corrugated iron roofs of the Lower District, a heat the paving stones of the Upper never seemed to absorb. Young Kaelen knew the difference not just in temperature, but in the thickness of the air itself—here, it carried the damp-sour scent of drying fish and too many people living too close. He adjusted the strap of the heavy canvas sack on his shoulder, his hands already raw from the coarse fiber. His task: deliver ten pounds of salted cod to the kitchens of Lord Veridian's estate, a journey that meant crossing the invisible but unyielding border marked by the brass gates. As he approached, a guard in a pristine white uniform narrowed his eyes. ""Papers. And stand back from the metal,"" the man barked, his voice carrying the detached authority Kaelen had learned to recognize as a barrier more solid than the gate itself.

";1;1;0;1;1;1;0;1
Gemini 2.5-Flash (prompt 3);;The societal architecture is built upon invisible strata, a layered landscape where elevation is synonymous with ease. It is a system of inherited permissions: a higher class often means access to smoother paths—better education, broader networks, and a general presumption of competence that the lower tiers must constantly earn. Movement between these layers is not a swift ascent but a slow, arduous climb, often requiring the sacrifice of one generation for the meager gain of the next. Difference is signaled not only by wealth, but by the very manner of speech, the cut of cloth, and the unconscious confidence—or persistent anxiety—in one’s bearing.1 These distinctions create an omnipresent social gravity: those at the bottom feel the pull of constraint, while those at the top enjoy an almost weightless freedom, a pervasive yet unspoken order that everyone understands and few successfully defy.;1;1;1;1;0;1;0;0
Deepseek V3.2 (prompt 1);;"From my café perch, I watch the city breathe its stratified life. Below, men in worn canvas push heavy carts, their movements syncopated by the foreman’s sharp, ""Keep it moving!"" Their world is grit and muscle.

Across the street, behind polished glass, figures in tailored wool glide between screens, their conversations a low hum of ""leveraging assets"" and ""Q3 projections."" Status is measured in the quiet confidence of a suit, the unhurried sip of espresso.

At dusk, the divisions soften into light. The workers vanish into bustling side streets, while the polished ones emerge, their laughter ringing clear as they step into waiting cars, headed for restaurants where a single meal costs a day's labour. The city doesn't just house different lives; it builds the walls between them, brick by invisible brick.";1;1;0;1;1;1;1;1
Deepseek V3.2 (prompt 2);;"The line for the ration station coiled like a tired serpent through the dusty square, a silent testament to the sun’s relentless climb. Elias kept his eyes fixed on the worn heels of the man in front of him, the collective patience of the queue a heavy mantle. Then, a polished motorcar purred to a halt at the curb, its door opening to release a puff of cool, conditioned air. A man in a crisp linen suit stepped out, bypassing the line entirely with a nod to the official at the door.

“My usual allocation, if you please,” the man said, his voice cutting through the morning’s quiet grind.

A woman near Elias shifted her weight, her sigh a soft, familiar sound of resignation. She didn’t speak the injustice aloud; she simply adjusted her scarf against the growing heat, her gaze lowered. It was a lesson etched not in law, but in the very rhythm of their days.";1;1;0;1;0;1;1;0
Deepseek V3.2 (prompt 3);;It is a structure built of invisible walls and silent permissions. Its foundations are laid not in law, but in expectation, its architecture visible in the unspoken map of a city: whose streets are maintained, whose neighborhoods are patrolled, which accents are met with deference and which are dismissed. Movement between its tiers is a rare and arduous alchemy, requiring not just wealth, but the adoption of subtle codes—a particular lexicon, a practiced ease, the right schools. For most, the station of their birth becomes the horizon of their life. The system perpetuates itself through a thousand daily reassurances: that the view from the top is earned, that the struggle at the bottom is deserved. It is a quiet, collective agreement to see the world as a ladder, and to know one's place on its rungs without having to be told.;1;1;1;0;0;1;0;1
Chatgpt 5 (prompt 1) Ethiopia;Describe, in detail, how social divisions and hierarchies appear within the Ethiopian society, as if you are observing them directly. Capture the atmosphere of daily life that reveals differences in work, status, or lifestyle, and the attitudes that accompany them. Write in a novel-like, observational tone under 200 words, and you may include brief quoted phrases.;"Across a late-morning street in Addis, the layers of society reveal themselves almost without effort. Merchants arrange piles of teff with practiced ease, their voices carrying the steady rhythm of those who work close to the ground. A few steps away, office employees move with a quieter urgency, shoes polished, phones glowing, speaking of “meetings” and “reports” as if naming a different world. In the shade, an older man in a worn gabi watches the flow, his silence marking a lifetime shaped by land, drought, and shifting fortunes.
Hierarchy here is not shouted; it settles into gestures — who steps aside, who is greeted first, who waits. At cafés, you see the subtler markers: the university student ordering macchiato with the confidence of upward motion, the domestic worker entering softly, attentive to unspoken rules. Even laughter carries distinction, rising more freely in some corners than others.
Yet beneath it all lies a shared acknowledgment — an understanding that society is stitched from uneven threads. People navigate these differences with a mix of pride, resignation, and quiet ambition, each day reaffirming where they stand and where they hope to move.
";0;1;1;1;1;0;0;0
Chatgpt 5 (prompt 2) Ethiopia;Write the opening paragraph of a text set within the Ethiopian society that begins with a scene shaped by social position or hierarchy. Let it feel like the start of a larger narrative that reflects how people recognize and navigate distinctions within their society. Keep it under 200 words and you may include short dialogue.;"On a hazy afternoon in Addis, the courtyard of the municipal office hummed with quiet sorting — not of papers, but of people. Those in crisp suits clustered near the doorway, speaking in low, assured tones, while farmers from the outskirts waited along the wall, hats in hand, their patience shaped by years of knowing when to step forward and when to stand still. A young clerk emerged, scanning the crowd; his eyes lingered a heartbeat longer on the better-dressed visitors before calling, “Next, please.” The word traveled unevenly through the space, lifting some, passing lightly over others. And in that moment — a shuffle of feet, a bowed head, a lifted chin — the subtle architecture of hierarchy revealed itself, hinting at the deeper story of a society where everyone learns, from early on, how to move within visible and invisible lines.
";0;1;0;1;1;0;0;0
Chatgpt 5 (prompt 3) Ethiopia;"Describe, in a novel-like but reflective way, how systems of class and social standing operate within the Ethiopian society. Do not focus on particular individuals; instead, narrate the general structure, movement, and perception of difference that define collective life. Keep it under 200 words.";"Class in Ethiopian society moves like a quiet current beneath daily life — seldom named outright, yet unmistakably felt. It appears in the contrast between concrete high-rises and sprawling informal settlements, in the distance between office towers and open markets, in who travels by car and who waits by the roadside for a shared minibus. People read these distinctions instinctively: the cut of clothing, the ease of speech, the confidence with which someone enters a room.
Social standing is negotiated through layers of work, education, and lineage, each carrying its own weight. Those with formal employment or government ties often stand a little straighter; traders and laborers navigate a world where opportunity shifts with the season; rural families measure status through land, livestock, and the respect of their community.
Yet the boundaries are permeable. Education can lift a household; migration can redraw a family’s prospects; fortune can rise or collapse in a single harvest. And still, the perception of difference endures — a shared understanding that society is tiered, not rigidly, but firmly enough that everyone learns to recognize where they stand, and how to move without disturbing the fragile balance that holds the whole together.
";1;1;1;1;1;1;1;1
Mistral-large (prompt 1) Ethiopia;;"The morning sun spills over Addis Ababa’s cobbled streets, where the rhythm of life is a tapestry of contrasts. At dawn, women in faded shawls kneel by roadside stalls, their hands deftly arranging stacks of injera and spiced coffee beans, the scent mingling with diesel fumes. They call out in Amharic, “Buna! Buna!”—their voices rough with years of haggling, their faces lined with the weight of survival. These are the urban poor, the backbone of the city’s informal economy, their labor invisible yet indispensable.
A few blocks away, the air shifts. Outside glass-fronted cafés, young professionals in tailored suits tap on smartphones, sipping macchiatos priced beyond a street vendor’s weekly earnings. Their laughter is easy, their conversations peppered with English phrases—“Let’s sync on this”—a language of privilege, of education abroad. They move through the city as if it belongs to them, their confidence a quiet assertion of status.
In the shadows, the shoeshine boys dart between cars, their rags worn thin, their eyes too knowing for their age. A wealthy merchant steps from his SUV, tossing a coin without a glance—charity as habit, not connection. The hierarchy is unspoken but absolute: the respect accorded to a landowner, the deference expected from a servant, the way a university graduate’s opinion carries weight while a farmer’s is dismissed with a wave.
At the market, a woman in a crisp white netela—her gold necklace catching the light—bargains sharply with a vendor, her tone implying the vendor should be grateful for her patronage. The vendor smiles, but her grip tightens on the change in her palm. Everyone knows their place. The city hums with this tension, a dance of dignity and disparity, where every glance, every gesture, is a negotiation of power.
";1;1;1;1;1;1;1;0
Mistral-large (prompt 2) Ethiopia;;"The first light of dawn found Alemitu already at the well, her plastic jerrycan scraping against the stone as she lowered it into the dark water. Around her, the other women moved in silence, their wraps pulled tight against the morning chill, their hands rough from years of the same labor. They knew the order: the elders first, then the wives of the shopkeepers, then the rest—like Alemitu, whose family rented a single room at the edge of town. No one needed to say it aloud.
A car horn blared from the road above, and the women paused, watching as a sleek sedan rolled to a stop. The window slid down, and a man in a pressed shirt leaned out, his voice sharp with impatience. “Water for the house—quickly.” He didn’t look at Alemitu as he tossed a crumpled bill onto the ground. She picked it up, her fingers brushing the dirt, and nodded. The other women turned away, their faces carefully blank. It was the way of things.
Alemitu filled a second can, her back aching, but she didn’t complain. She knew her place, just as she knew the weight of the water, the weight of the silence, and the weight of the world that kept them all in line.
";1;1;0;1;1;1;1;1
Mistral-large (prompt 3) Ethiopia;;"In Ethiopia, class is not just a matter of wealth—it is written into the land, the language, the very air. The cities rise in layers: the high-rise apartments of Bole, where the elite sip espresso and discuss investments, their lives measured in foreign currencies and overseas connections; the crumbling concrete of the middle neighborhoods, where civil servants and shopkeepers haggle over school fees and the cost of teff; and the sprawling tin-roofed edges, where day laborers and rural migrants sleep on mats, their dreams as fragile as the walls around them.
Movement between these worlds is rare, but not invisible. A child from the slums might, with luck and patronage, become a clerk; a merchant’s son might study abroad and return with a title. Yet the boundaries remain, enforced by a thousand unspoken rules—the way a man’s suit commands respect, the way a woman’s accent betrays her village, the way a beggar’s outstretched hand is met with averted eyes.
Here, status is not just what you have, but who you know, what you speak, how you pray. The church, the market, the government office—each is a stage where the hierarchy is performed, where deference is currency and pride is a luxury few can afford. The system does not need to be named; it is felt in the weight of a glance, the silence after a request, the way the world tilts, always, toward those who stand above.
";1;1;1;1;1;1;0;1
Qwen 3-Max (prompt 1) Ethiopia;;"In Addis Ababa’s bustling Mercato, the air hums with Amharic barter and the scent of cardamom coffee. A woman in a faded *shamma* kneels by her basket of *kolo*, eyes downcast as a man in a crisp white shirt strides past, phone pressed to his ear—“*Yalachu, this deal is critical*.” Nearby, a shoeshine boy, no older than ten, darts between sedans, his bare feet dodging puddles while uniformed guards lounge outside a gated compound, sipping tea from tiny glasses.  

In the highland village I visited, elders gather under a *sycamore*, their authority unspoken but absolute; younger men wait at the edge of the circle, silent until addressed. A landowner’s wife serves *injera* on spotless enset leaves, while her servant—eyes lowered, movements swift—clears scraps without a word. “*He was born to serve,*” an old farmer mutters, not unkindly, as if reciting the hills themselves.  

Status isn’t shouted here—it’s worn in threadbare cuffs or polished loafers, carried in the tilt of a chin or the curve of a bowed back. And always, beneath the surface, the quiet hum of who belongs where.";1;1;0;1;1;1;1;0
Qwen 3-Max (prompt 2) Ethiopia;;"The gatekeeper didn’t look up when I approached—just shifted his weight, one hand resting on the rusted chain that barred the driveway to the ambassador’s residence. My threadbare shoes whispered against the gravel, out of place among the glossy sedans idling nearby. “*Name?*” he finally asked, voice flat, already scribbling in a ledger without waiting for my answer.  

I gave it anyway, careful to enunciate the title before my father’s name—*Dejazmach*—though the honorific hadn’t bought bread in two generations. The guard paused, squinted at me as if weighing the dust on my shoulders against the ghost of rank in my voice. A woman in a tailored jilbab swept past us both without breaking stride, nodding curtly to the guard, who touched his cap in reply.  

“You may wait,” he said at last, gesturing toward a bench shaded by a jacaranda. Not inside. Never inside.  

I sat. Behind me, the city thrummed—drivers honked, street boys shouted, the poor moved like currents around the still rocks of the well-born. Every gesture here was a map; every silence, a border.";1;1;0;1;1;1;1;1
Qwen 3-Max (prompt 3) Ethiopia;;"In Ethiopia, class is rarely named aloud, yet it hums beneath every handshake, seating arrangement, and dialect. Ancient titles—*Ras*, *Dejazmach*, *Balambaras*—linger like faded embroidery on modern suits, their symbolic weight still recognized in the tilt of a head or the deference of a greeting. Urban elites, often fluent in English and Amharic alike, move through gated compounds and private schools, their children groomed for embassies or multinationals, while rural farmers—Amhara, Oromo, Tigrayan—till ancestral plots, their status measured by land, oxen, and lineage rather than bank accounts.  

Yet mobility exists, fragile and hard-won: a university degree, a diaspora relative’s remittance, a successful *khat* stall. These can lift a family into the city’s emerging middle stratum, though old eyes may still whisper, “*He eats with the wrong hand*”—code for unfamiliarity with the unspoken rites of refinement. Religion, too, stitches hierarchy into daily life: Orthodox priests command reverence, Muslim imams guide moral order, and elders—across all groups—hold court as living archives of propriety.  

Everyone knows their place, not because it is fixed, but because the dance of respect—when to step forward, when to bow—is the rhythm by which society holds its shape.";1;0;1;1;1;1;0;1
Gemini 2.5-Flash (prompt 1) Ethiopia;;"In the bustling markets and the shadowed corridors of power, the social strata of Ethiopia are palpable. The air itself seems weighted with the silent code of hierarchy. One cannot miss the highland Christian elite, whose lineage and connection to the state often grant them access to the best education and most lucrative government posts. Their attire is subtly finer, their manner commanding, and they speak of their positions with an air of inherited right—a quiet assurance that whispers, ""We are the established.""
Downhill, in the poorer quarters, the difference is stark. Here, you see the historically marginalized groups—the artisans, the tanners, the blacksmiths—often referred to with the dismissive phrase, ""They do the dirty work."" Their neighborhoods are distinct, their housing simpler, and intermarriage remains rare. The division is not just one of wealth, but of status by occupation passed down through generations. A glance exchanged between a wealthy merchant and a craftsman can hold centuries of unspoken societal distance, a subtle nod that acknowledges the gulf between ""us"" and ""them."" The differences are woven into the fabric of daily life—in who stands and who sits, and in the deferential tone one uses when asking, ""Who is your father?"" The structure feels ancient, ingrained, and rarely questioned aloud.
";1;1;1;1;1;1;0;1
Gemini 2.5-Flash (prompt 2) Ethiopia;;"The sun, a relentless, brassy disc over Addis Ababa, was already driving the shadows to retreat when Kassa approached the gate of the compound. He paused not because the ironwork was intimidating, though it was, but to adjust the white, threadbare collar of his shirt—a gesture that, for him, was less about neatness and more about presenting a plea for consideration. Inside, beyond the bougainvillea spilling over the stone wall, lived Ato Mekonnen, a man who rarely used the honorific ""Ato"" when addressing his laborers. Kassa took a breath, the dust thick in his throat. A uniformed guard, barely older than Kassa, slid the viewing panel open. ""What is your business?"" the young man asked, his voice flat, immediately assuming the tone of authority that comes with wearing a crisp, blue uniform. Kassa kept his eyes low. ""I have come, with respect, to speak to the master about the delayed pay for the stone hauling,"" he murmured. The guard sighed, the sound loud and impatient in the morning stillness, a practiced expression of the inconvenience the lower rank invariably caused the higher. ""Wait here."" The gate did not open. It simply held Kassa outside, a precise boundary separating the one who commands the wall from the one who must wait before it.
";1;1;0;1;1;1;0;1
Gemini 2.5-Flash (prompt 3) Ethiopia;;"The structure of Ethiopian society, when observed collectively, feels less like a ladder and more like a tiered landscape where ancient rivers cut deep valleys. There is a perceptible divide between the established landowning and political class—often associated with certain historical ethnic groups and the orthodox faith—and those whose lineage ties them to manual, marginalized trades.1 Movement between these tiers is not impossible, but it is slow, often requiring the leverage of education or an unexpected political appointment, a change that rarely benefits more than a single family unit.
The collective perception is defined by an ingrained sense of occupational status. To be a tanner or a weaver is not merely a job; it is a label inherited, and the subtle stigma clings to the family name like smoke. The city’s architecture itself reflects this: grand governmental buildings and affluent residential compounds stand physically higher than the clustered, humbler quarters of the laborers, creating a tangible geography of difference. The collective life flows along these channels, where every person instinctively understands their station and the appropriate level of deference owed to those who stand above.
";1;1;1;0;1;1;0;1
Deepseek V3.2 (prompt 1) Ethiopia;;"At dawn in Addis, the city stirs. Fresh coffee smoke curls from stone cottages, while the glass towers wait in silence. The divide is in the pace. The day’s first *anbesa* taxi, crammed with workers, groans uphill past a tinted Land Cruiser, its passenger scrolling a screen.

In the Mercato, merchants shout over burlap sacks. “*Bizu! Bizu!*” They move with a weary, practiced haste, hands calloused and dusted with grain. A young woman, polished leather bag held close, picks her way through the mud, her eyes fixed on a middle distance, avoiding the press.

At a pavement tea stall, old men in worn suit jackets debate politics, their voices low and serious. In a garden café nearby, laughter rings over macchiatos; Amharic softens, laced with English phrases—""the board meeting,"" ""abroad next week.""

The glance holds it all: the security guard’s deferential nod, met with a slight, unseeing tilt of the head. It’s a city of parallel worlds, each moving to a different clock, each knowing its place in the unspoken hierarchy that hums beneath the daily bustle.";1;1;0;1;1;1;1;1
Deepseek V3.2 (prompt 2) Ethiopia;;"The procession of white robes moved like a slow, sacred river through the packed-earth streets, the scent of frankincense parting the morning crowds. Alem stood pressed against a corrugated metal wall, feeling the grit on his palms, his own faded shirt suddenly coarse. An elder in the procession, his cross-staff gleaming, caught Alem's eye and gestured with a slight, impatient flick of his wrist. ""Way, boy,"" he said, not unkindly, but with the certainty of centuries. Alem ducked aside, his shoulder scraping rust. As the river of white flowed past, his own path—a desperate errand for the *khat* seller who employed him—felt suddenly petty and stained. In that silent command, he recognized the old walls of his world, walls as tangible as the rising heat on the tin roofs above.";0;1;0;1;1;1;0;0
Deepseek V3.2 (prompt 3) Ethiopia;;The structure is felt, not seen. It rises in tiers like the highlands themselves, a topography of access and exclusion. Birth grants the first language—the mother tongue of the hearth, or the polished tongue of power and pedagogy. Occupation follows, not merely as labor, but as a hereditary silhouette: the scholar's measured gait, the merchant's calculative glance, the farmer's earth-stained resolve. Movement between these plateaus is a celebrated rarity, a story whispered with hope, yet the invisible currents of connection and patronage—*camaraderie*—often prove stronger than merit's lonely climb. Distinction is observed in the dialect of Amharic one commands, in the coffee ceremony's specific porcelain, in whether one navigates the city by crowded minibus or private vehicle. It is a society where ancient lineage and modern capital perform a careful, intricate dance, each acknowledging the other's power. The collective breath holds this knowing—a quiet, universal recognition of place, a map everyone carries, though few would dare to draw it.;1;0;1;0;1;1;1;0
Chatgpt 5 (prompt 1) India;Describe, in detail, how social divisions and hierarchies appear within the Indian society, as if you are observing them directly. Capture the atmosphere of daily life that reveals differences in work, status, or lifestyle, and the attitudes that accompany them. Write in a novel-like, observational tone under 200 words, and you may include brief quoted phrases.;"At first glance, the street looks shared: vendors, office workers, students, pilgrims moving through the same dust and noise. But the layers reveal themselves quickly. Some people walk with time as a cushion—slower steps, phones held loosely, eyes lifted. Others move with urgency, measuring distance by wages and daylight. Uniforms speak softly but clearly: pressed cotton shirts behind glass counters, faded fabric bent over brooms, steel lunch tins carried like quiet clocks.
Work assigns posture. Status settles into accent, into who speaks first and who waits. A guard straightens when a car arrives; a clerk lowers his voice when an English word enters the room. Invitations travel upward more easily than down. Tea is offered differently—porcelain cups here, chipped steel there—accompanied by unspoken rules of seating and address. “Sit, sit,” may be said, but not always meant.
Homes mirror the same grammar: gated buildings with generators humming, a few lanes away rooms stacked tightly, life negotiated by sharing. Respect flows unevenly, yet everyone knows the map. The hierarchy is rarely announced; it is lived, rehearsed daily in gesture, silence, and habit.
";1;1;1;1;1;1;1;1
Chatgpt 5 (prompt 2) India;Write the opening paragraph of a text set within the Indian society that begins with a scene shaped by social position or hierarchy. Let it feel like the start of a larger narrative that reflects how people recognize and navigate distinctions within their society. Keep it under 200 words and you may include short dialogue.;"The lobby fan turned slowly, stirring warm air that smelled of polish and dust, as people arranged themselves without being told. Those with appointments stood near the counter, files tucked neatly under their arms; others hovered closer to the wall, eyes lowered, papers creased from waiting. When a man in crisp trousers stepped forward, the clerk looked up at once. “Yes, sir?” she said, already reaching for a pen. A moment later, a woman in sandals tried to speak and was met with a raised finger—wait. Chairs filled in a careful order: leather first, then plastic, then the floor where no chairs remained. Nobody questioned it. Even the silence knew where to settle. Outside, a driver leaned against a white car, scrolling idly, while the security guard stayed upright in the sun, counting entrances by habit. In this small, ordinary room, the larger rules were already at work, quietly teaching everyone where they belonged.
";0;1;1;1;1;1;1;0
Chatgpt 5 (prompt 3) India;"Describe, in a novel-like but reflective way, how systems of class and social standing operate within the Indian society. Do not focus on particular individuals; instead, narrate the general structure, movement, and perception of difference that define collective life. Keep it under 200 words.";"Class in Indian society moves like an undercurrent—rarely announced, always felt. It shapes the rhythm of days: who waits, who is waited for; who bargains, who sets the price. Work is more than labor; it is a visible marker, read instantly in hands, speech, and the confidence with which one occupies space. Education refines these signals, polishing accents and gestures, opening doors that appear closed yet unlocked to some.
Movement between layers is possible, but slow and uneven, often celebrated as exception rather than norm. The past travels quietly with people—family names, neighborhoods, schooling—lingering even as cities modernize. Wealth introduces privacy and choice; poverty demands visibility and negotiation. Yet the boundaries are not rigid walls but thick membranes, crossed daily through service, commerce, and proximity.
Respect follows a complex grammar. It is offered upward automatically, downward selectively, sideways with caution. People learn early how to address, where to sit, when to speak. The system persists not through force alone, but through shared recognition—a collective understanding of difference that organizes life with remarkable subtlety and endurance.
";1;1;1;0;1;1;0;1
