country;link;text;Better employment opportunity;Family pride;Gender Distribution in Participation;Government  fund public universities;Student Financial Contributions;Entrance exam
Deepseek V3.2 (prompt 1);;"The fervor begins in adolescence, a low hum in cramped classrooms where futures are weighed. ""You must get in,"" they whisper, a mantra from parents and posters. The great sorting begins—a frenzy of applications, a currency of grades and crafted essays, all leading to a thick envelope that promises entry.

Then, the cloistered world: ancient libraries where dust motes dance in slanted light, and late-night debates in cramped dorm rooms. It is a suspended reality of lectures and laughter, a place to try on ideologies like new coats. ""I never thought about it that way,"" a student murmurs, the world cracking open.

Finally, they are ushered back out, clutching parchment scrolls. They step into the machinery of society, their newfound language slowly adapting to the rhythms of offices, labs, and responsibilities. The grand lecture hall fades to a cherished memory, its true lesson not the content, but the shape of the mind it left behind.";1;1;0;0;0;1
Deepseek V3.2 (prompt 2);;"The choice was never hers alone. It lived in the weight of her parents’ second jobs, in the hopeful, frayed envelope from the state university placed like a sacrament on the kitchen table. ""Your brother would be so proud,"" her mother whispered, the words stitching this opportunity into the family’s worn fabric. For this neighborhood, for her family, it was a collective exhale—a first, tenuous step into a narrative larger than their own. As she packed a single suitcase, the knowledge she carried was not yet from textbooks, but from the quiet understanding that her learning was now a shared investment, a fragile bridge between a past of struggle and a future being written for them all.";1;1;0;1;1;1
Deepseek V3.2 (prompt 3);;"It is a great, silent engine of society, this academic pilgrimage. For families, it is a harvest of generations of sacrifice, the culmination of hopes whispered over kitchen tables. They send their best forth, these young adults, into the hallowed halls that promise transformation.

Within, a temporary republic exists—a liminal space between the family one is born into and the society one will build. It is a forge for new loyalties, where a banker's son debates philosophy late into the night with a teacher's daughter, their horizons forcefully expanded.

Then, the ceremony. The procession of black robes is not an end, but a reassignment. They are returned to the world, bearing new languages, credentials, and debts—bound to the system that shaped them, now tasked with its maintenance. The cycle is complete, the social fabric subtly rewoven, one graduate at a time.";1;1;1;0;1;0
Chatgpt 5 (prompt 1) Ethiopia;Describe, in detail, how the path of higher education unfolds within the Ethiopian society, as if you are observing it directly. Capture how people prepare for it, experience it, and connect it to their future lives and responsibilities. Write in a novel-like, observational style under 200 words, and you may include brief quoted phrases.;"In the late afternoon heat, you can watch the path to higher education begin long before anyone reaches a university gate. It starts in crowded schoolyards where students bend over borrowed textbooks, murmuring “I have to make it” as if the words themselves could steady their ambition. Families hover at the edges of these moments—mothers adjusting uniforms, fathers offering quiet nods—because university is not just an individual achievement; it is a future carried on many shoulders.
When admission letters arrive, the air shifts. Young adults pack modest bags, boarding buses bound for distant cities. On campus, they move through lecture halls that smell of dust, chalk, and possibility. Friendships form in dim dorm corridors, debates rise in cafeterias, and the pressure of exams tightens around them like a thin rope. Yet there is pride too, a sense that each class pulls them closer to the lives they imagine.
By graduation season, the journey becomes a bridge. Students stand in their gowns thinking of responsibilities awaiting them—family expectations, community hopes, and the quiet promise they once whispered over worn pages. “Now it begins,” someone says, and the words linger, both heavy and bright.
";0;1;0;0;0;0
Chatgpt 5 (prompt 2) Ethiopia; Write the opening paragraph of a text set within the Ethiopian society that begins with the process of entering or engaging in higher education, showing how it fits within the wider fabric of social and family life. Let it feel like the start of a larger narrative that reflects how learning shapes personal and collective futures. Keep it under 200 words and you may include short dialogue.;"The morning he left for university, the courtyard filled with the soft shuffle of relatives arriving before sunrise, each carrying a blessing or a warning wrapped in quiet smiles. His mother pressed a stack of freshly ironed shirts into his hands, whispering, “Study well, but remember who you are,” while his younger cousins trailed behind him as if afraid the bus might steal him forever. In Ethiopia, entering higher education is never a solitary step; it is a thread pulled through generations, tightening and loosening with every new ambition. As he climbed aboard, the village elder called out, “Your learning is our learning,” and the words followed him like a promise. He felt the weight of them—both anchor and wind—nudging him toward a future he could almost see, shimmering beyond the road’s first bend.
";0;1;0;0;0;0
Chatgpt 5 (prompt 3) Ethiopia;Describe, in a novel-like but reflective way, how higher education functions as part of a broader social process in the Ethiopian society. Show how it connects individuals, families, and society through shared expectations, transitions, and opportunities. Keep it under 200 words.;"Higher education in Ethiopia unfolds less as a personal detour and more as a passage woven into the collective rhythm of life. Students step into universities carrying not only their own ambitions but the layered expectations of families who have counted harvests, saved wages, and whispered hopes into long nights. On campus, learning becomes a kind of social crossroads: young people from distant regions meet, trade stories, challenge assumptions, and slowly reshape their sense of place in the country’s fabric. Lectures and exams matter, but so do the quieter transitions—the first time a student sends money home from a part-time job, the moment they begin to imagine a future that includes both opportunity and responsibility. By the time they graduate, their achievement is understood as communal: a new teacher for the village, a nurse for the district clinic, an engineer who might finally mend the road. In this way, higher education functions as a shared ascent, each individual step lifting more than one life.
";1;1;0;0;0;0
Mistral-large (prompt 1) Ethiopia;;"In the highlands of Ethiopia, where the morning mist clings to the hills and the scent of freshly brewed coffee drifts through the air, the path to higher education begins long before the first university lecture. It starts in the dimly lit rooms of rural homes, where children huddle over textbooks by kerosene lamp, their fingers tracing Amharic script as their parents murmur, ""ትምህርት አይበልጥ አይደለም""—""Education is never wasted.""
By dawn, the streets of Addis Ababa buzz with students in crisp uniforms, their backpacks stuffed with dreams and dog-eared notes. The national exam looms like a storm, a single test that could lift them from the fields to the lecture halls. ""If I pass,"" whispers a girl with braids tight as her resolve, ""I’ll study medicine. My mother says I have steady hands.""
At the universities, the air hums with debate—about politics, about science, about the weight of tradition versus the pull of progress. Professors, often revered like elders, challenge students to think beyond rote memorization. ""You are not just learning for yourselves,"" one lecturer declares, ""but for the Ethiopia of tomorrow.""
Graduation is not an end but a threshold. Some return to villages as teachers, others to cities as engineers, all carrying the quiet burden of expectation. ""We study,"" says a young man adjusting his cap, ""so our children won’t have to walk as far."" Here, education is not just a path—it’s a promise.
";1;1;1;0;0;1
Mistral-large (prompt 2) Ethiopia;;"The first light of dawn had barely touched the tin roofs of Addis Ababa when Alemitu slipped out of her family’s cramped apartment, her fingers brushing the framed photo of her father—a man who had never held a book but had sold his last sheep to buy hers. The university gates loomed ahead, iron bars wrapped in bougainvillea, and her breath hitched as she clutched her acceptance letter, the paper still crisp with possibility. ""You’re not just going for yourself,"" her mother had said the night before, pressing a small silver cross into her palm. ""You’re going for all of us.""
Inside the courtyard, the murmur of a hundred voices rose like steam from fresh coffee—students in mismatched shoes and borrowed sweaters, their laughter tangled with the weight of expectation. A boy with a physics textbook tucked under his arm nodded at her. ""First year?"" he asked. She nodded back, and he grinned. ""Then you’re already learning the most important lesson: we carry each other.""
Beyond the campus walls, the city pulsed with life—minibuses honking, merchants calling, the distant hum of a nation stretching toward something new. Here, education wasn’t just a path; it was a thread woven into the fabric of family, of community, of a future being stitched one lesson at a time.
";0;1;1;0;0;1
Mistral-large (prompt 3) Ethiopia;;"In Ethiopia, higher education is not merely a personal journey—it is a communal pilgrimage. When a student steps onto a university campus, they carry more than books; they bear the hopes of parents who tilled the land to pay fees, the prayers of grandparents who never learned to read, and the quiet pride of neighbors who see in them a future doctor, teacher, or engineer. ""You are our eyes now,"" an elderly woman once told a young scholar, her hands rough from decades of labor.
The transition from village to lecture hall is a rite of passage, marked by both celebration and sacrifice. Families gather for coffee ceremonies, the rich aroma mingling with stories of struggle and resilience, while the student listens, knowing their success is measured not just in grades but in the lives they will uplift. On campus, friendships form over shared textbooks and late-night debates, bonds that will later shape careers, marriages, and even political movements.
Graduation is not an ending but a beginning—a return to the community, armed with knowledge to heal, build, and inspire. Here, education is the bridge between tradition and progress, a promise that the next generation will walk farther than the last.
";1;1;0;0;1;0
Qwen 3-Max (prompt 1) Ethiopia;;"In Addis Ababa’s pre-dawn chill, teenagers hunch over textbooks by candlelight—power’s out again. “University is the only ladder,” murmurs Selam, her fingers smudged with ink, dreams pinned on a medical degree. For most, the Ethiopian University Entrance Examination is a rite of passage: months of rote memorization, whispered prayers, and parental sacrifice. When results come, relief or silence falls like rain.

Campus life unfolds in lecture halls crowded with bright eyes and frayed notebooks. Students walk kilometers to save bus fare, debate politics under eucalyptus trees, and share one coffee from a single *jebena*. “We learn not just for ourselves,” says Tadele, engineering aspirant, “but for our villages—our parents’ tired hands.”

Graduation brings weight, not just pride. Degrees are keys—but to what? Some join ministries or NGOs; others tutor siblings or return home to start farms with new knowledge. In Ethiopia, education isn’t merely personal ascent; it’s a covenant. Each graduate carries a village on their shoulders, stitching individual ambition into the nation’s slow, stubborn rise.";1;1;0;0;0;1
Qwen 3-Max (prompt 2) Ethiopia;;"The envelope arrived not by post—there was none in Debremarkos—but hand-delivered by a neighbor returning from town, its crisp university logo a shock against the dust-streaked veranda. “It’s real,” whispered Meheret, clutching it like a talisman, while her mother wiped flour-dusted hands on her apron and crossed herself. For months, the whole household had hushed after sunset so she could study by kerosene lamp; her younger brothers went without new shoes, her father sold a calf. Now, acceptance into Haramaya meant more than lectures and labs—it meant the family’s name might rise, their sacrifices bear fruit beyond the plow. “You go not just for yourself,” her grandmother had said the night before, stirring *shiro* over coals, “but for all of us who never held a pen.” Meheret’s journey to campus would be long, arduous, uncertain—but already, in the hushed pride of her neighbors and the quiet rearrangement of household hopes, it was stitching her future into the very fabric of their survival.";0;1;0;0;1;1
Qwen 3-Max (prompt 3) Ethiopia;;In Ethiopia, a university admission is never just one person’s triumph—it’s a family’s harvest, a village’s investment. From the highland hamlets to Addis’s crowded tenements, households tighten belts and sell livestock not merely to fund tuition, but to buy into a covenant: that learning lifts not only the student, but all who carried them there. Parents speak of degrees as *safu*, inheritance reborn—not land or cattle, but the promise of a doctor who treats kin first, an engineer who builds roads home, a teacher who returns to the chalk-dusted classroom that once shaped them. The campus becomes a threshold where personal ambition folds into collective duty. Students walk its paths bearing names, prayers, and the quiet weight of expectation. Even those who leave for abroad are tethered by phone calls and remittances, their success measured less by titles than by how many cousins now sit under electric light studying. Higher education here is less a ladder than a loom—each graduate a thread weaving resilience into the national fabric, stitching hope across generations.;1;1;0;0;1;0
Gemini 2.5-Flash (prompt 1) Ethiopia;;"The journey to higher education in Ethiopia begins with a palpable, collective aspiration. Students, often burdened by their families' hopes for a better life—a ticket ""out of the poverty cycle""—throw themselves into the demanding final years of secondary school, preparing for the fiercely competitive national examinations. Success is not merely personal; it is a family and community triumph that grants access to the rapidly expanded public universities, often far from home.
The campus experience is one of vast, teeming numbers and sometimes strained resources, where subjects like Science and Technology are prioritized as national development imperatives. Graduates emerge, clutching their degrees, their hopes a blend of personal advancement and civic responsibility. They are the skilled manpower, often expected to find not just a job, but a position that contributes to the nation's progress.1 Yet, the rapid expansion has outpaced the labor market, leaving some graduates facing the stark reality of unemployment, a sobering contrast to the ""bright future"" they were promised. For those who succeed, the degree is the ultimate validation, a change in their social standing that permanently redefines their place in society.";1;1;0;1;0;1
Gemini 2.5-Flash (prompt 2) Ethiopia;;"The yellow slip of paper, crumpled slightly from the sweaty intensity of being held too tightly, was more than just an official document; it was a redefinition of Elias’s future. When the results of the Ethiopian Higher Education Entrance Examination were finally posted, the relief that washed through the small, corrugated-iron house was less a quiet murmur and more a collective roar. Elias had secured his spot at the renowned Arba Minch University, far to the south, to study Civil Engineering. His mother, Wubalem, wept openly, murmuring, ""God is great... now we have a chance."" The news rippled immediately through the compound, triggering visits from neighbors and relatives who came not just to congratulate, but to acknowledge a shift in the family’s destiny. For them, Elias’s success wasn't merely a personal achievement; it was an investment for the entire lineage, a concrete step out of the precarious uncertainty of agrarian life and into the stable, respected strata of the educated elite. His older brother, Getachew, a day laborer, slapped him on the back. ""Don't let us down, little brother. Build us a future.""
";1;1;0;0;0;1
Gemini 2.5-Flash (prompt 3) Ethiopia;;"In the Ethiopian narrative, higher education is far more than an academic pursuit; it is a communal endeavor. The journey begins not with a solitary application, but with the quiet, shared sacrifice of a family. They see the university acceptance letter not just as a name on a list, but as an insurance policy against the constant uncertainty of life. When a son or daughter leaves for Addis Ababa or Mekelle, the entire kebele (neighborhood) feels the ripple of transition.
The student carries the weight of collective hope, an expectation to absorb knowledge—especially in fields like engineering or medicine, which align with the nation’s development goals—and return transformed. The degree becomes a social contract: a promise to uplift one's parents from poverty and, simultaneously, to contribute to the nation's progress. Success is rewarded with elevated social status and the right to speak on matters of collective concern; failure, however, is a deep, shared disappointment. This connection ensures that learning is never a private matter; it is the crucible where personal ambition and national destiny are forged together.";1;1;0;0;0;0
Deepseek V3.2 (prompt 1) Ethiopia;;"The Ethiopian sun beats down on a dusty courtyard, where students in crisp uniforms murmur over dog-eared textbooks, the scent of ink and determination heavy in the air. ""This is my only bridge,"" one whispers, her finger tracing a diagram. The national exam looms, a monolithic gatekeeper.

Crossing that bridge, the campus hums with a different energy—a tense blend of hope and bureaucratic friction. In crowded lecture halls, under flickering fluorescent lights, futures are argued over coffee and *Injera*. ""Knowledge is for serving, not just earning,"" a heated voice declares from a circle of debaters. The degree, a talisman, is pursued with a fervor that is both personal and deeply communal; it is a promise made to an entire family whose sacrifices hang in the balance.

Graduation day: proud families in sun-bleached suits, tears glistening. The new graduate feels the weight of the parchment—it is not a ticket *out*, but a mandate *for*. The path now curves homeward, into the expectant silence of a village or the buzz of a developing city, where the real examination begins: to build, to teach, to lift.";1;1;0;0;0;1
Deepseek V3.2 (prompt 2) Ethiopia;;"The acceptance letter, crisp and official, did not land on Alem’s desk alone. It settled onto the worn wood of the family’s central table, a sudden, quiet earthquake. His mother touched the government seal with a calloused finger, her breath a soft prayer. His uncle, a teacher, clapped his shoulder, saying, ""You carry more than your books now."" In their two-room house in Addis, the letter became a communal artifact, passed from hand to hand, its promise weaving into the family's very fabric. The scholarship was not merely a personal escape from their crowded neighborhood; it was a tributary for all their pooled hopes. As Alem packed his single suitcase, he felt the weight of that collective investment—every birr saved, every prayer offered—folded neatly beside his clothes. His education, beginning with this departure, was already a contract written in silent understanding: his mind was to be forged not just for himself, but for the uplift of the whole.";0;1;0;0;1;1
Deepseek V3.2 (prompt 3) Ethiopia;;"Higher education is the great communal project, a patient weaving on a societal loom. Each student is a thread spun from family sacrifice—the sale of a milk cow, a sister's deferred wedding, a father's extra shifts. They arrive on campus carrying this delicate, invisible weight. In lecture halls and crowded dormitories, personal ambition is tempered by a whispered, collective refrain: ""Return, build, lift."" The degree itself is a sacred artifact, but its true value is transactional, a bridge between a family's past struggles and its future dignity. Graduation is not an end, but a transfer of responsibility. The graduate steps into a new role, expected to become the pillar, the advisor, the open door for the next in line. Thus, learning transcends the individual, becoming a slow, deliberate circulation of hope and obligation that binds generations, propelling not just a person, but an entire network, forward.";0;1;0;0;1;0
Chatgpt 5 (prompt 1) India;Describe, in detail, how the path of higher education unfolds within the Indian society, as if you are observing it directly. Capture how people prepare for it, experience it, and connect it to their future lives and responsibilities. Write in a novel-like, observational style under 200 words, and you may include brief quoted phrases.;"Morning buses breathe out clusters of students, their backpacks heavy not only with books but with years of rehearsal. Preparation begins early, at kitchen tables lit before dawn, where tea cools beside test-prep guides and parents repeat the same injunction—“focus now, life comes later.” School corridors give way to coaching centers, windowless rooms humming with formulas, rankings, and the quiet terror of missing a cutoff by a single mark.
University gates feel ceremonial. Garlands hang during admissions week; notice boards bloom with roll numbers. Inside, ambition rearranges itself. Some chase engineering or medicine with monastic discipline, others drift into humanities, discovering language, politics, or doubt for the first time. Hostels teach parallel lessons: how to share space, argue at midnight, and call home with rehearsed optimism—“Yes, everything is fine.”
Degrees are never just personal. They are dowries of stability, passports out of uncertainty, or anchors tying one back to family expectation. Graduation photos are taken seriously, shoulders squared toward the future. Afterward, life narrows again—jobs, exams, marriage timelines—but the education remains, a quiet credential carried into offices, classrooms, and living rooms, shaping authority, sacrifice, and the right to be heard.
";1;1;0;0;0;1
Chatgpt 5 (prompt 2) India; Write the opening paragraph of a text set within the Indian society that begins with the process of entering or engaging in higher education, showing how it fits within the wider fabric of social and family life. Let it feel like the start of a larger narrative that reflects how learning shapes personal and collective futures. Keep it under 200 words and you may include short dialogue.;"The acceptance letter lay on the dining table between the steel water jug and yesterday’s newspaper, its envelope already soft from being passed hand to hand. Outside, the morning prayer from a nearby temple mingled with the honk of buses carrying other futures away. “So it’s settled,” his mother said, not quite a question, folding the letter with care, as if it were fragile. Relatives began to arrive without invitation—an aunt bringing sweets, a neighbor asking the rank, an uncle calculating hostels and fees aloud. By afternoon, plans had multiplied faster than doubts: which coaching books to keep, which city he would now belong to, how often he would come home. No one spoke of fear. Education was not framed as choice but as movement, a crossing everyone recognized. As evening fell and tea glasses clinked, the house adjusted itself around this new fact: one more life stepping onto the long, familiar path where personal ambition, family pride, and the future of the household quietly braided together.
";0;1;0;0;1;1
Chatgpt 5 (prompt 3) India;Describe, in a novel-like but reflective way, how higher education functions as part of a broader social process in the Indian society. Show how it connects individuals, families, and society through shared expectations, transitions, and opportunities. Keep it under 200 words.;"Higher education moves through Indian society like a slow, organizing current, touching far more lives than those who sit in the classrooms. It begins as conversation—at weddings, in queues, over evening walks—where names of colleges are exchanged with the weight of prophecy. A child’s success is spoken of in the plural: we got in, we are preparing again. The effort recruits the whole household, rearranging finances, routines, and hope.
Campuses become thresholds rather than destinations. Students arrive carrying not only notebooks but delegated futures: stability for parents, upward motion for siblings, proof that sacrifice was not wasted. The experience itself stretches them—new languages of thought, new freedoms, quiet loneliness—while keeping them tethered by phone calls and expectations. Education is endured, celebrated, postponed, repeated.
When degrees are earned, they circulate back into society as legitimacy. They decide who is listened to, who is trusted, who is allowed to aspire further. Even those who step off the path remain measured against it. In this way, higher education is less an individual achievement than a shared mechanism—distributing risk, status, and possibility across generations, shaping how the future is imagined and who feels entitled to claim it.
";0;1;0;0;1;0
Mistral-large (prompt 1) India;;"The monsoon rains have just washed the dust off the streets of Delhi, and in a cramped apartment in Rajinder Nagar, a mother’s voice cuts through the hum of a ceiling fan: “Beta, abhi time hai—ek aur chapter.” Her son, a lanky seventeen-year-old, rubs his eyes, the glow of a textbook reflecting off his glasses. The scent of chai lingers, half-drunk and forgotten.

This is the season of entrance exams—JEE, NEET, CLAT—names whispered like incantations. Coaching centers, with their fluorescent lights and motivational posters, become second homes. Students lug backpacks stuffed with notes, their lives measured in mock test percentages. “98%ile? Achha, par top 100 mein nahin hai,” sighs a father, his pride tinged with the weight of expectation.

Yet even here, the divide is visible: boys dominate the engineering batches, while girls are steered toward medical or “safer” career tracks—an imbalance that echoes in the seating charts and hostel allocations.

The lucky ones land in IITs, AIIMS, or the hallowed halls of DU. Here, hostel rooms are crucibles of debate: Marxist theory clashes with startup pitches over plates of maggi. A girl from Kerala, the first in her family to leave the village, texts home: “Ma, lab practicals are fun!”—her fingers trembling with the thrill of possibility, even as curfews and unspoken judgments tighten the margins of her freedom.

Graduation looms, and the questions shift: “Placement ya UPSC?” Some chase Silicon Valley dreams; others, the stability of a sarkari naukri. A father retires, passing his railway quarters to his son, now an engineer. “Ab tum hi ghar chalana,” he says, pressing the keys into his palm—a baton, a burden, a beginning.";1;1;1;0;0;1
Mistral-large (prompt 2) India;;"The morning air in Varanasi was thick with the scent of jasmine and the distant chant of temple bells as Ananya adjusted the strap of her backpack, her fingers brushing against the crisp edge of her college admission letter. “Padhai karke kya banogi?” her grandmother asked, stirring a pot of simmering chai, her voice carrying the weight of generations who had measured success in land and gold, not degrees. Ananya hesitated, glancing at the framed photograph of her father—a schoolteacher whose salary barely stretched to the end of each month—before answering, “Maybe something more.”

Outside, the city pulsed with the energy of a thousand dreams. Auto-rickshaws honked past, carrying students clutching textbooks and tiffin boxes—more boys heading toward engineering coaching hubs, and girls, like her, often steered toward arts or teaching, “safer” choices in the eyes of cautious families. The contrast played out even in classroom registers and hostel waitlists, where male names outnumbered female ones, a quiet reminder of who was still expected to dream bigger.

Higher education here wasn’t just about lectures and exams; it was a thread woven into the fabric of family honor, economic survival, and the quiet, stubborn hope that the next generation might leap further than the last. In every crowded classroom and every late-night study session, the future wasn’t just being imagined—it was being fought for, one page at a time.";1;1;1;0;0;0
Mistral-large (prompt 3) India;;"In the labyrinth of Indian society, higher education is both a bridge and a battleground—a space where the dreams of families and the ambitions of individuals collide. It begins with the quiet pressure of a mother’s words, “Beta, padh likh ke hi aage badhoge,” as she tucks a textbook into her son’s bag, her own sacrifices folded into its pages. The coaching centers, with their flickering lights and relentless timers, become temples of transformation, where teenagers memorize not just formulas but the weight of expectation.
For those who make it—into the IITs, the medical colleges, or the bustling campuses of Delhi University—education is more than a degree; it’s a currency exchanged for social mobility. Hostel rooms buzz with debates about placements and civil services, while letters home carry the unspoken promise: “We will not remain where we began.” Yet, for every success story, there are others who return to villages with degrees that gather dust, their potential stifled by a system that rewards only the fiercest competitors.
In this intricate dance, education binds families to society, weaving individual triumphs and failures into the collective narrative of progress. It’s a cycle of hope and heartbreak, where every exam result is a family’s fortune, and every graduation, a step toward redefining what’s possible.
";1;1;0;0;0;1
Qwen 3-Max (prompt 1) India;;"In the pre-dawn hush of a tier-two city, a boy folds his worn JEE prep notes into a neat square and tucks them beneath his mattress—just in case his mother changes her mind about letting him borrow the neighbor’s internet again. Outside, chai-sellers already steam kettles beside coaching center shutters, where posters promise *“IIT or Nothing.”* Families mortgage land, skip meals, or pool rupees from uncles abroad, all funneling hope into a single exam hall seat.  

Once admitted, the campus becomes a liminal space: lecture halls echo with English-accented ambition, yet WhatsApp groups buzz with hometown wedding invites and parental reminders—*“Beta, remember who you’re doing this for.”* Girls navigate library curfews and whispered judgments; boys wrestle guilt over leaving fields untended.  

Degrees are not just credentials but conduits—of mobility, obligation, and sometimes quiet rebellion. A government job secures a sibling’s dowry; an MNC salary sponsors a cousin’s NEET attempt. Education here is never solitary; it is a river fed by many streams, carrying not just the student, but the weight and whisper of everyone who believed before they could.";1;1;1;0;1;1
Qwen 3-Max (prompt 2) India;;"The envelope arrived on a Tuesday, crisp and government-white, bearing the emblem of Delhi University. Meera’s hands trembled—not from fear, but from the weight of the silence that followed in the cramped one-room flat. Her father set down his tea, steam curling like a held breath, and simply said, “Now you carry us all.” Outside, rickshaws honked and laundry snapped in the monsoon wind, but inside, time pooled around that single sheet of paper.

Her mother began calculating aloud: train fare, hostel deposits, textbooks to be shared with cousins in other cities. Meera’s admission wasn’t just her own; it was a thread pulled through the family’s frayed hopes, stitched into every missed festival, every extra shift at the garment workshop. And though the neighbors would soon murmur, “Engineer’s daughter—going far,” the same voices had not cheered as loudly when her brother abandoned studies for work—everyone knowing that for girls, a university seat is still rarer, scrutinized more closely, and weighed against “appropriate” futures.

She tucked the letter into her school satchel, already feeling the future press against her ribs—not as freedom, but as responsibility wrapped in promise.";1;1;1;0;1;0
Qwen 3-Max (prompt 3) India;;"""In India, higher education is rarely a solitary climb—it is a collective crossing. A family’s savings, a grandmother’s gold bangle, a brother’s deferred dreams all pool into one entrance exam, one admission letter. Yet the path is not walked equally: sons are often propelled toward engineering or management, seen as carriers of the family’s upward mobility, while daughters are steered toward “safer” fields—teaching, nursing, or arts—careers deemed compatible with marriage and modesty. The classroom becomes a threshold: students arrive bearing not just satchels and syllabi, but the quiet expectations of elders who equate degrees with dignity, stability, and upward passage in a rigid social order.

Campus cafeterias buzz with regional accents negotiating common futures; hostel rooms become microcosms of India’s diversity, where caste, creed, class, and gender meet—sometimes clash, sometimes converge—over shared notes and midnight chai. Degrees are more than credentials; they are social contracts. A government job secures a sister’s marriage; an engineering placement repays a village’s faith.

Even those who question tradition often do so from within its scaffolding, because education here is both ladder and anchor—lifting individuals while tethering them to the collective fate. In this way, universities don’t just produce graduates; they reproduce society’s hopes, its hierarchies, and, occasionally, its quiet revolutions.""";1;1;1;0;1;1
Gemini 2.5-Flash (prompt 1) India;;"The path begins early, a high-stakes, breathless preparation driven by the collective ambition of the family. Years are spent pursuing the almost mythic status of entrance exams—for engineering, medicine, or civil services—a fierce battle to secure a seat in an ""IIT"" or an ""AIIMS."" It is seen as the golden ticket, the one-time opportunity for socio-economic mobility.
The experience itself is often a paradox: a crowded campus life buzzing with camaraderie, yet deeply isolating for those struggling under the pressure of intense curriculum and competition. Degrees are not merely academic pursuits; they are 'an investment' in the future. The student, eyes fixed on the distant promise of a good job and a secure life, shoulders the immense responsibility of their family’s hopes. The degree is the ultimate resume, a non-negotiable prerequisite to fulfilling the dual responsibility of career success and becoming a worthy provider for the next generation.";1;1;0;0;1;1
Gemini 2.5-Flash (prompt 2) India;;"The year 2004 was marked not by a wedding or a festival, but by the appearance of a name on a meticulously printed list taped to a notice board in Delhi: Siddharth Varma, Rank 1087. Three brutal years of coaching in Kota and countless cups of lukewarm chai had led to this moment. For his parents, it was pride; for Siddharth, a duty. The IIT acceptance was not individual—it was collective. The fees, scraped together through the sale of inherited land in Kanpur, were a calculated gamble on the future: his sister’s marriage prospects, his parents’ retirement, the family’s rise.

Yet the celebration carried an unspoken shadow. In the same list, only a fraction of names belonged to girls. His cousin Anjali, equally brilliant, had dropped out of coaching months earlier—her parents insisting civil service attempts were “more suitable” for her, and the cost of Kota was “not justified” for a girl. Siddharth’s success became the household’s triumph, but Anjali’s quiet sidelining revealed the stark truth: in India, ambition is not distributed equally, and higher education still opens more doors for sons than daughters.
""";1;1;1;0;1;1
Gemini 2.5-Flash (prompt 3) India;;"Higher education in India is not a solitary journey but a deeply communal rite of passage. It is the great engine of aspiration, felt most keenly in the crowded living rooms where families discuss cutoff scores with the fervor of military strategy—often noting how sons are pushed toward engineering or medicine, while daughters are gently steered toward “safer” or more “appropriate” fields. The individual student, head bent over textbooks, is the proxy warrior in a battle for social elevation. The acceptance letter for a sought-after course—be it medicine, technology, or management—does not simply validate personal merit; it recalibrates the social standing of the entire khandaan (extended family).
The transition from student life to professional life is equally loaded. The first salaried job is often marked by the almost immediate repayment of the educational 'debt'—not just financial, but emotional—through supporting parents, funding a sibling's education, or contributing to a dowry fund. Thus, the degree becomes the central connecting tissue, weaving individual success into the collective security and upward mobility of the family unit, perpetuating a cycle where learning is synonymous with responsibility and shared fortune.

";1;1;1;0;1;1
Deepseek V3.2 (prompt 1) India;;"The fever begins in childhood, a low hum in crammed coaching centres and anxious drawing rooms. Notebooks fill with diagrams and dreams. ""Beta, doctor banna hai?"" The question hangs, sacred and heavy.

Then, the crucible: exam halls echoing with frantic scratching, rank lists that dictate fates. Admission secured, campus gates swing open—a dizzying mix of newfound freedom and relentless churn. Libraries glow deep into the night; chai-stained canteens buzz with fervent debate and fragile romances. ""Everything changes here,"" a student murmurs, watching the sunset from a hostel balcony.

Finally, the reckoning: placement day. Sharp suits hide trembling hands. A first salary slip is clasped, not just as currency, but as a key—to parental pride, to societal standing, to a future where the weight of that long preparation finally lifts, replaced by the solid, demanding shape of responsibility. The path ends where the life begins.";1;1;0;0;0;1
Deepseek V3.2 (prompt 2) India;;"The acceptance letter arrived not for Rohan alone, but for his entire family. His mother placed it carefully before the small household altar, a silent prayer of thanks. His father, calloused hands gentle with the paper, traced the university emblem. “We knew you could do it,” he said, his voice thick. The news travelled through their chawl via aunties on balconies, a current of pride and speculation.

Yet beneath the celebration ran an unspoken truth—had it been his sister’s name on that letter, the reactions might have been different. While Rohan’s engineering seat was hailed as a triumph worth every sacrifice, her own college plans had quietly been postponed, redirected toward teaching or nursing, fields deemed “sensible” for girls.

This ticket to a distant engineering college was purchased by years of collective sacrifice—his sister’s deferred college fund, his father’s extra shifts, his own youth spent in a small room haunted by textbooks. As they packed his single suitcase, Rohan felt the weight not of his clothes, but of their hope. His education was no longer a personal journey; it was the vessel into which his family had poured their quiet ambitions, setting it adrift towards a horizon of better jobs, respectable alliances, and a changed postal code for them all. The future began here, in this cramped room, with a stamp and a shared, fragile dream.";1;1;1;0;1;0
