country;link;text;Civil law ; Equal right;Automatic transfer;Wills;Gender bias;Parents include
Qwen 3-Max (prompt 3) Ethiopia;;"In Ethiopia, inheritance rarely arrives with the crisp finality of a stamped court order. More often, it seeps in like dusk—quiet, inevitable, shaped by generations before law was written. Though formal wills exist, especially in cities, most estates pass through the murmured consensus of elders gathered over bitter coffee and *kolo*: “*The eldest son takes the house,*” someone says, and heads nod, not because statutes demand it, but because the land remembers his father’s hands. Daughters may inherit moveable property—jewelry, livestock, sometimes land—but custom often tempers legal right with familial expectation: “*She will marry; her share stays with her brothers.*”  

When disputes arise—and they do—they coil through family compounds and district courts alike, tangled in verses of the Civil Code and the older, softer logic of *seb* (respect) and *mahiber* (community). A widow might clutch her husband’s *shamma*, eyes downcast, while uncles debate her portion. Papers are signed, yes—but only after blessings are exchanged and debts of honor settled. Inheritance here is less a transfer of assets than a reckoning: who carries the name, who tends the memory, and who dares to claim what was never truly owned, only borrowed from the ancestors.";1;0;0;1;1;0
Gemini 2.5-Flash (prompt 1) Ethiopia;;"The air in the living room, thick with the scent of frankincense and unspoken grief, seemed to hold its breath. This was not the sterile theater of a Western court, but a private, solemn affair, unfolding beneath the watchful eyes of the departed's portrait.
A lawyer, somber in a dark suit, held the folded papers—the will. As he began to read, a quiet tension settled over the assembled family. The language was Amharic, formal and direct, translating the deceased’s final wishes into legal decree. You could see the flicker of calculation in the eyes of some, the stoic acceptance in others.
The qercha (inheritance) was more than just land or money; it was the transference of history, of a family's standing. While the words affirmed the law—a house in Addis Ababa, a plot of fertile gebar land—the undercurrent was purely emotional. A muffled sob from an elderly aunt punctuated the silence. The true negotiation, often subtle, would begin after the reading, a delicate dance of obligation, tradition, and familial respect that sometimes transcended the written word, ensuring everyone, especially the vulnerable, was seen to. The law might govern the property, but kibre (honor) governed the people.
";1;0;0;1;0;0
Gemini 2.5-Flash (prompt 2) Ethiopia;;"The rustle of the parchment was the loudest sound in the salon. It was an arid, brittle noise, like dry teff stalks snapping underfoot, and it felt impossibly heavy against the thick, mournful silence that had settled upon the extended family. They were gathered on the low, cushioned seats of the parlor, surrounded by the quiet permanence of carved wooden furniture and framed photographs of the man they were now dividing. The lawyer, a small, bespectacled man named Ato Yared, cleared his throat, adjusting the spectacles that magnified his nervousness. ""The house in Bole and the coffee farm near Jimma... these are stipulated to pass to the eldest son, Tadesse."" At the mention of the name, Tadesse's wife, standing by the doorway, subtly straightened her spine, a flicker of hard-won triumph crossing her face before it was veiled again by piety. Meanwhile, his younger sister, Aster, only gripped the armrest of her chair tighter, the knuckles on her hand turning white. The inheritance had just ceased being a hopeful rumor and become a stark reality: a line drawn in the sand, determining who would hold the reins of the family's future.
";1;0;0;1;1;0
Gemini 2.5-Flash (prompt 3) Ethiopia;;"The path of inheritance in the community rarely begins with a sudden, dramatic reading. Instead, it is a gradual, often whispered understanding. The abba (father) or imama (mother), sensing the closing horizon, begins the delicate process of wasiyét, the final instruction. This is often an oral testament, shared with trusted elders or a priest, blending formal intent with traditional obligation: ""Let the land near the river remain whole,"" he might insist.
When the inevitable occurs, the process shifts. The written will, if one exists, provides the legal anchor, but custom acts as the current. The division of qercha (inheritance) is overseen by a council of respected kin. Here, law meets shimiglina (mediation). A son may legally claim a house, but the sisters must be provided for, often through a share of movable property or a quiet, negotiated sum—a recognition that ""family must remain one."" The division is less a hard break than a controlled flow, ensuring that while property changes hands, the family's core fabric remains intact, defined by duty as much as by deed.
";0;0;0;1;1;0
Deepseek V3.2 (prompt 1) Ethiopia;;"The scent of *tenadam* incense still clung to the mourning robes as they gathered in the lawyer’s cramped office in Bole. A metal fan chopped the thick air. Before the Amharic copy of the will was read aloud, the unspoken arithmetic had already been calculated in every downcast eye—plots of land in Addis, a *kebele* house, the gold of the late *Ato*. The lawyer’s voice was a dry, procedural instrument, listing plot numbers and percentages. A sister inhaled sharply at a named cousin; an eldest son’s jaw tightened, his assumed birthright now parsed into decimal points. Beneath the legal phrases—""testator,"" ""bequeath,"" ""in perpetuity""—swirled older currents: obligation to extended family, the quiet shame of disputing a parent’s final wish, the heavy weight of earth that is both asset and ancestral chain. Handshakes exchanged after were firm, faces composed. The real division would happen later, in whispers over bitter coffee, where law met the deep, unyielding soil of kinship.";1;0;0;1;0;0
Deepseek V3.2 (prompt 2) Ethiopia;;"The air in the sitting room, still heavy with the memory of frankincense from the *teskar*, grew taut as a wire. Aster’s fingers, calloused from a lifetime of pouring coffee, trembled as she broke the crimson seal on the envelope her father’s lawyer had given her. The uncles shifted in their seats, the rustle of their suit jackets loud in the silence. Her brother, Solomon, stared fixedly at the worn *mesob* in the centre of the room, his posture rigid.

Aster’s voice, when it came, was barely a whisper that carved the future into stone. “*‘To my daughter, Aster, I leave the compound and the coffee business in Merkato...’*”

A collective inhale. The uncles’ polite masks slipped, revealing a fissure of shock. Solomon’s head snapped up, his eyes finding hers—not with betrayal, but with a dark, dawning understanding. The will was not merely a document; it was a revolution. With twenty lines of formal Amharic, her father had not just distributed assets. He had shattered an ancient expectation, and placed the weight of their world into her unprepared hands.";1;0;0;1;1;0
Deepseek V3.2 (prompt 3) Ethiopia;;In Ethiopia, inheritance is a quiet river with two converging currents. The first is the written law, a modern decree speaking of spouses, children, and percentages, typed precisely on legal paper. The second is the ancient, unwritten tide of custom, pulling property toward sons and ancestral land toward the extended family’s embrace. A will may be drafted in a lawyer’s office, its clauses declaring a testator’s wish. Yet, its reading often occurs over the shared ritual of a coffee ceremony, the steam carrying not just the *berbere* scent of frankincense, but murmured phrases like, “But the family knows…” and “His brother’s son should have…” Legal documents are respected, yet they are often gently negotiated against the deeper grammar of kinship, obligation, and the unyielding soil. Property rarely passes without this silent, profound conversation between the ink of the state and the indelible script of tradition.;1;0;0;1;1;0
Chatgpt 5 (prompt 1) India;Describe, in a novel-like and observational way, how the process of inheritance unfolds within the Indian  community. Write as if you are witnessing the scene — the reading of a will, the quiet negotiations, or the legal formalities that follow a death. Capture both the atmosphere of law and the undercurrent of emotion that surrounds the transfer of property. Keep it under 200 words.;"The room tightens when the papers are laid out. Ceiling fans hum, stirring the smell of old files and incense that still clings to the walls. A lawyer clears his throat and begins to read, his voice steady, almost indifferent, while eyes around the table flicker—toward the cupboard that holds land deeds, toward the doorway where elders once sat. Names fall into the silence like weights. A field in the village. The upstairs room. Gold kept “for the daughters.”
No one interrupts. Respect demands patience. Later, in softer corners of the house, the negotiations begin. An uncle murmurs about fairness; a sister folds and unfolds the edge of her sari, counting more than cloth. Tea is poured again and again, as if ritual might cool the heat of memory. Outside, life continues—vendors call, children play—but inside, property becomes history made solid. Signatures follow, thumbprints bloom in blue ink, and the law closes its file. What remains is less orderly: a recalibration of bonds, a quiet measuring of who gained land, who gained duty, and who learned, once more, what belonging costs.
";1;0;0;1;1;0
Chatgpt 5 (prompt 2) India;Write the opening paragraph of a story set within the Indian society that begins with the moment inheritance becomes real — perhaps the opening of a will, a family gathered in silence, or the first steps of dividing possessions. Let it feel like the start of a larger narrative about family, tradition, and control. You may include short dialogue, but focus on tone and tension. Keep it under 200 words.;"The will was placed at the center of the table like an object with weight, its edges softened by time and handling. No one reached for it at first. The room was full—uncles, aunts, cousins who rarely visited—yet unnervingly quiet, the only sound the slow ticking of a wall clock that had belonged to the dead man. “We should begin,” someone finally said, too softly, as if afraid the words might offend. The lawyer adjusted his glasses. Outside, a pressure cooker hissed and was forgotten. Inside, every breath felt measured. This was the moment when affection hardened into entitlement, when stories told over decades would be tested against ink and signatures. Eyes lingered on cupboards, on framed photographs, on the locked bedroom door. Inheritance had arrived—not as money or land yet, but as a shift in gravity. Whatever was written would not just divide property; it would rearrange loyalties, silence some voices, and give others a reason to speak at last.
";1;0;0;1;0;0
Chatgpt 5 (prompt 3) India;"Describe, in a novel-like manner, how inheritance typically operates in the Indian society. Do not focus on specific individuals; instead, narrate the general flow — from the making of wills to the passing of property among kin. Capture the blend of legal order, custom, and human feeling that surrounds it, as if telling a scene from collective life. Keep it under 200 words and you may include brief quoted phrases.";"Inheritance moves slowly, like something heavy being carried through narrow rooms. It often begins long before death, in cautious conversations—“everything is written,” “this is for the children”—or in silences where nothing is written at all. When the moment comes, law enters the house politely: stamped papers, attesting witnesses, a measured voice explaining shares and procedures. Yet custom never leaves. Elders interpret intent, reminding others what is right, not merely what is legal.
Property passes by category as much as by value—land, house, gold, obligations. Sons are spoken to in terms of responsibility; daughters are reassured with phrases like “you will always have your place.” Disputes rarely explode at once. They simmer over tea, surface in whispered recalculations, then reappear months later in registrar offices and court corridors. Thumbprints in blue ink finalize what emotions cannot resolve.
When it is done, nothing looks dramatically different. The house still stands. Fields are still fields. But relationships have subtly shifted. Inheritance does not simply distribute assets; it redraws hierarchy, confirms belonging, and quietly teaches everyone what power looks like when wrapped in tradition and sealed by law.
";1;0;0;0;1;0
Mistral-large (prompt 1) India;;"The air in the old bungalow was thick with the scent of sandalwood incense and the faint, lingering aroma of chai left untouched on the side table. The family gathered in the dimly lit drawing room, their faces half-shadowed by the slow turn of the ceiling fan. The lawyer, a man with a voice as dry as the parchment he held, cleared his throat and began to read. Each word fell like a pebble into a still pond, rippling through the room.
Eyes darted—between the will, the lawyer, and each other. The eldest son’s jaw tightened as the ancestral home was divided, not as he had assumed, but as his father had quietly decided. His sister’s fingers traced the edge of her saree, her share of the jewelry box a small consolation for the land she had hoped for. The youngest, still a student, shifted uncomfortably, unaware that his name had been added to a bank account only the day before.
Outside, the mango tree swayed in the evening breeze, indifferent to the whispers and the rustle of papers being signed. The law moved methodically, but the heart did not. In the silence between clauses, grief and greed sat side by side, both unspoken, both understood.
";1;0;0;1;1;0
Mistral-large (prompt 2) India;;"The monsoon rain tapped against the windows of the old haveli like impatient fingers, as if even the sky knew what was coming. Inside, the family sat in a semicircle around the teakwood table, its surface polished to a mirror by decades of use—first by their grandfather, then their father, and now, for this. The lawyer, a thin man with a briefcase that had seen too many such gatherings, placed the sealed envelope on the table. Its edges were slightly yellowed, the ink of the address just faint enough to suggest it had been written and rewritten in hesitation.
""Should we begin?"" he asked, though no one had spoken since he arrived.
The eldest uncle lit a cigarette, the flare of his match briefly illuminating the lines of tension around his mouth. His sister, draped in the same white saree she had worn for the past forty days, did not look up. The younger cousins shifted, their modern clothes out of place in the weight of the room. The envelope remained untouched, a silent arbiter.
No one reached for it. No one needed to. The moment it was opened, everything would change.
";1;0;0;1;0;0
Mistral-large (prompt 3) India;;"In India, inheritance moves like a river—sometimes swift and clear, other times meandering through the old channels of custom and law. It begins quietly, often with a father or grandfather, pen in hand, drafting a will in the dim light of his study, the weight of his decisions pressing heavier than the gold he divides. ""This goes to the eldest,"" he murmurs, ""that to the daughters,"" as if balancing not just assets, but love and duty.
When the time comes, the family gathers—not just for grief, but for the reading of the will, a moment suspended between tradition and the cold precision of legal ink. The lawyer’s voice cuts through the hush, each clause a ripple of tension. Land, jewelry, businesses—each item carries stories, claims, and unspoken expectations. The sons listen for their names, the daughters for fairness, the uncles for oversight.
Yet, beneath the formalities, emotions churn. Pride, resentment, relief—all simmer as signatures are affixed and stamps pressed. The law may dictate the process, but it is the family’s unwritten rules, its whispers and glances, that truly shape how wealth—and power—passes from one generation to the next.
";1;0;0;1;1;0
Qwen 3-Max (prompt 1) India;;"The lawyer’s office smells of old paper and sandalwood incense someone lit in the corridor. Outside, Mumbai hums—honking rickshaws, a chai-wallah’s call—but in here, silence clings like dust to the framed land deeds on the wall. The sons sit stiffly on mismatched chairs; the daughter folds her hands in her lap, eyes downcast. The will is read in measured Hindi, each clause a stone dropped into still water.  

When the property in Kolhapur is left not to the eldest, as custom might whisper, but split three ways—yes, even to her—the air shifts. No one speaks, yet everything is said: the tightening of a jaw, the rustle of a sari as she adjusts her pallu, the slow, deliberate tap of the younger brother’s pen against his knee.  

Later, over weak tea in the hallway, murmurs begin—“For the mother’s care,” “The ancestral home must stay intact,” “She’ll marry soon anyway.” The law has spoken clearly; tradition negotiates in whispers. Papers are signed, fingerprints pressed like reluctant kisses onto ink. And somewhere, beneath deeds and dowry talk, the dead man’s voice lingers—in what was given, and what was never written at all.";1;1;0;1;1;1
Qwen 3-Max (prompt 2) India;;"The brass key was cold in Aunty Shobha’s palm as she turned it in the lock of the old rosewood cabinet—the one Uncle Inder had always said “only opens when the time is right.” Around her, the family stood like figures in a faded photograph: cousins leaning against doorframes, elders perched on velvet settees, the youngest nephew fidgeting with the tassel of a curtain. Not a cough, not a sigh—just the groan of wood yielding after twenty years. Inside lay no jewels, only a bundle of land papers tied with saffron string and a single envelope addressed in shaky ink: *For the one who stays.*  

“Who stays?” Neel, the NRI son, asked first, voice sharp with the accent of another country.  

No one answered. The ceiling fan whirred, slicing the heat into slow, uneasy circles. Somewhere in the courtyard, a sparrow called twice—once for grief, once for warning. The inheritance had been delivered not in words, but in silence, and the real division had only just begun.";0;0;1;0;0;0
Qwen 3-Max (prompt 3) India;;"Inheritance in India unfolds not in a single act but in a slow seep—like monsoon water through cracked courtyard tiles. Many die without wills, trusting custom to carry their legacy: land to sons, blessings to daughters, the family home held in collective name though lived in by one. When a will *is* written, it is often in cautious script, tucked beside prayer books or bank passbooks, its existence whispered only after the funeral pyre cools. Lawyers unroll deeds yellowed at the edges; clerks stamp papers that change hands more than once, each signature a quiet concession or concealed grievance. “It’s only fair,” someone says, while another murmurs, *“Beta, sabko milna chahiye”*—“Child, everyone should get something.” But fairness bends under the weight of dowry debts, maternal claims, or the unspoken belief that caring for aging parents earns a heavier share. In villages, elders mediate beneath banyan trees; in cities, inheritance is argued over WhatsApp and witness affidavits. Through it all runs the tension between law and lore—the Hindu Succession Act on one shoulder, ancestral expectation on the other—each family navigating the gap with a mix of resignation, strategy, and sorrow.";1;1;0;1;1;1
Gemini 2.5-Flash (prompt 1) India;;"The air in the lawyer’s chamber was thick with sandalwood and unspoken words, a familiar hush descending upon the assembly. We were here, a family gathered not in celebration, but around the ghost of a patriarch—a man who had woven his life into the very fabric of the estate.
The reading of the will—a crisp document bound in scarlet tape—was the legal formality, the pronouncement of an earthly fate. Yet, the real drama unfolded in the quiet negotiations that followed, the sidelong glances, the clearing of throats that preceded a calculated whisper. A daughter-in-law, usually so demure, spoke with the sudden, sharp clarity of one claiming her due. A son, who had spent decades abroad, watched with a detached, mercantile eye, weighing sentiment against square footage.
It wasn't just land or gold being transferred; it was the legacy, the izzat (honor), tied to the possession. The legal terms, the percentages, the division of assets, were merely a rigid frame around a river of emotion—grief mingling with a keen sense of entitlement, and the silent, heavy acknowledgment that with every inherited inch, a new burden of responsibility was also passed down.
";1;0;0;1;0;0
Gemini 2.5-Flash (prompt 2) India;;"The lawyer, Mr. Chawla, adjusted his spectacles, the fluorescent light glinting off the gold frames as he cleared his throat—a small, abrasive sound that seemed to scrape against the heavy silence of the living room. Seven pairs of eyes, belonging to the three children and their spouses, were fixed not on him, but on the thick, cream-colored envelope resting on the mahogany table. It held the final pronouncement of their father’s will, a document that would, in the next hour, redraw the map of their relationships. A faint scent of old paper and dust motes danced in the afternoon sunbeam, illuminating the fine silver streaks in Bade Bhai’s hair. ""Well, let's begin,"" Mr. Chawla finally said, breaking the tension with professional briskness. ""The first clause concerns the textile mills in Surat."" The elder daughter, Preeti, subtly reached for her husband’s hand, her knuckles white, her gaze betraying a decade of careful deference now struggling against a sudden, raw ambition. This wasn't merely about property; it was about who would inherit the scepter of control, the power their father had wielded until his last breath.
";1;0;0;1;0;0
Gemini 2.5-Flash (prompt 3) India;;"The act of inheritance begins long before the lawyer's pen touches the parchment, often in the quiet, calculating heart of the patriarch or matriarch. This unspoken will, guided by the ancient law of primogeniture mixed with modern equitable thought, usually favors the sons, the traditional torchbearers, but must now also acknowledge the daughters—a whispered truth: ""She must get her share.""
The formal document, the Will, is a recent, legalistic overlay on centuries of custom, usually drafted to ensure smooth transfer and to avoid the dreaded family feud. Yet, upon death, the transfer is rarely smooth. The distribution is a blend of the legal mandate and the forceful gravity of tradition. Often, the bulk of the business or ancestral home—the ""heart of the matter""—passes to the eldest son, who is deemed the custodian. Monetary assets and smaller plots are then partitioned. The real negotiations happen not in court, but in the drawing-room, where ""mutual understanding"" is sought, a fragile truce struck between legal rights and filial expectation, cloaked in a veneer of respect for the departed.
";1;0;0;1;1;0
Deepseek V3.2 (prompt 1) India;;"The air in the advocate’s office is thick with dust motes and unsaid words. The ceiling fan groans, struggling against the Delhi heat and the heavier heat of anticipation. Before the polished teak desk, the family sits on stiff chairs—uncles in crisp kurtas, a widow lost in her white sari, cousins avoiding each other’s eyes.

The lawyer’s voice, dry as legal parchment, cuts the silence. He recites clauses about ‘bequeath’ and ‘freehold property.’ But beneath his monotone runs a subterranean river of feeling: the sharp intake of breath at an unequal share, the subtle tightening of a jaw, the way an aunt’s sari pallu is clutched, knuckles white.

A grandfather’s watch is mentioned. Eyes flicker towards the eldest son who wears it. It is not just bricks and bank accounts being divided, but history, favor, and sometimes, love. The stamp paper holds the cold finality of law, but in the room, lifetimes of whispered promises and old resentments hang, unresolved, in the weary, spinning air.";1;0;0;1;0;0
Deepseek V3.2 (prompt 2) India;;"The stillness in the bungalow’s main hall was absolute, broken only by the dry rustle of the cream-colored paper in Advocate Srinivasan’s hands. Before him, the three Sharma brothers sat like statues on the heavy rosewood sofa, their wives a tense, silk-clad tableau behind them. The scent of sandalwood incense from the morning’s puja still lingered, a futile attempt to mask the scent of dissolution.

“As per the last will and testament of Mr. Rajendra Sharma,” the advocate began, his voice unnaturally loud in the hush. The eldest son, Prakash, stared fixedly at the portrait of their father above the mantel, his jaw a hard line. The middle son, Vinod, fidgeted with his car keys. The youngest, Arjun, watched a gecko scuttle across the high ceiling, already feeling the walls of the family home, of his whole life, begin to reconfigure.

“The family business, Sharma & Sons Textiles,” Srinivasan continued, adjusting his spectacles, “is bequeathed in its entirety to…”

He paused. Prakash leaned forward imperceptibly.

“…to Vinod.”

A sharp, hissed intake of breath came from Prakash’s wife. It was not just a factory that changed hands in that instant, but a century of assumed order, shattering with the turning of a page.";1;0;0;1;0;0
Deepseek V3.2 (prompt 3) India;;"In the shadow of loss, the matter of assets unfolds like a slow, sacred ritual tangled in legal parchment. Often, it begins not with a lawyer’s summons, but in the hushed conversations of a mourning household, where customary whispers of ""the son gets the property, the daughters get the jewels"" vie with the stark, typed impartiality of a will. There is the weight of tradition—ancestral land passing silently from father to son, a current of unspoken duty. Yet, increasingly, there is the deliberate scratch of a pen in a notary’s office, an attempt to impose order upon affection and old wounds.

The transition itself is a tapestry of formal stamps and quiet reckonings. Legal notices are published; names are entered into municipal ledgers. But beneath this official surface flows the deep, human undercurrent: the unvoiced question of a parent's love measured in square feet, the brittle silence over a disputed heirloom, the scent of old ledgers and regret. Property changes hands, but what truly passes is history, memory, and the delicate, often fractured, map of a family's heart.";1;0;0;1;1;1
